# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:47 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6799 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 44391'           /                                                
# SPTYPE  = 'K0 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 22'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810812 / Minimum wavelength (um)                        
# MAXWAVE =              4.18321 / Maximum wavelength (um)                        
# V       =        7.74000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.40000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.30100000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        4.75900000000 / 2MASS H magnitude                              
# HERR    =      0.0360000000000 / 2MASS H magnitude error                        
# KS      =        4.54800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0170000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0119507000000 / Relative error in the absolute flux calibration
# RV      =       -10.7156820000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.18000000000 / Intrinsic Color                                
# E(B-V)  =       0.220000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810812                4.96906e-11         1.20698e-13
             0.811015                5.01366e-11         1.21186e-13
             0.811217                5.02534e-11         1.21532e-13
             0.811420                5.09112e-11         1.22593e-13
             0.811623                5.02234e-11         1.21890e-13
             0.811825                4.92743e-11         1.20581e-13
             0.812028                5.02606e-11         1.22543e-13
             0.812231                5.04069e-11         1.21898e-13
             0.812433                5.13974e-11         1.24422e-13
             0.812636                5.14310e-11         1.24581e-13
             0.812839                5.01783e-11         1.22890e-13
             0.813041                5.08014e-11         1.23439e-13
             0.813244                5.04888e-11         1.23749e-13
             0.813447                5.05557e-11         1.24118e-13
             0.813649                5.15940e-11         1.26114e-13
             0.813765                5.14508e-11         1.09953e-13
             0.813997                5.12002e-11         1.05183e-13
             0.814230                5.06563e-11         1.01149e-13
             0.814462                5.00464e-11         9.91416e-14
             0.814695                5.05355e-11         1.00560e-13
             0.814928                5.08861e-11         1.05026e-13
             0.815160                5.00399e-11         1.09549e-13
             0.815392                5.05037e-11         1.07468e-13
             0.815625                5.09478e-11         1.03468e-13
             0.815857                5.15696e-11         1.00843e-13
             0.816090                5.25654e-11         1.01040e-13
             0.816322                5.05621e-11         1.01463e-13
             0.816555                4.99027e-11         1.05148e-13
             0.816787                5.08974e-11         1.11029e-13
             0.817020                5.09923e-11         1.06075e-13
             0.817252                5.12948e-11         1.02291e-13
             0.817485                5.13088e-11         9.95406e-14
             0.817717                5.08706e-11         9.86847e-14
             0.817950                5.11831e-11         1.02024e-13
             0.818182                5.10843e-11         1.06308e-13
             0.818415                4.95637e-11         1.07283e-13
             0.818647                4.84970e-11         1.00993e-13
             0.818879                4.90020e-11         9.83933e-14
             0.819112                5.07493e-11         9.86988e-14
             0.819344                5.26625e-11         1.00830e-13
             0.819577                5.01415e-11         1.00955e-13
             0.819809                4.78341e-11         1.03239e-13
             0.820042                4.97438e-11         1.05244e-13
             0.820274                5.00720e-11         1.01051e-13
             0.820506                4.96169e-11         9.84774e-14
             0.820739                4.96329e-11         9.58414e-14
             0.820971                4.93565e-11         1.00311e-13
             0.821204                5.06521e-11         9.98877e-14
             0.821436                5.07892e-11         1.04050e-13
             0.821668                5.00970e-11         1.05525e-13
             0.821901                5.17616e-11         1.00337e-13
             0.822133                5.10673e-11         9.72351e-14
             0.822366                4.91579e-11         9.45317e-14
             0.822598                5.11236e-11         9.78069e-14
             0.822830                5.30710e-11         1.03584e-13
             0.823063                5.25888e-11         1.08042e-13
             0.823295                5.18792e-11         1.04323e-13
             0.823528                5.13336e-11         9.92771e-14
             0.823760                5.17788e-11         9.67744e-14
             0.823992                5.15083e-11         9.63116e-14
