# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:52 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7630 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 179870'          /                                                
# SPTYPE  = 'K0 II   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 22'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806796 / Minimum wavelength (um)                        
# MAXWAVE =              5.01591 / Maximum wavelength (um)                        
# V       =        7.06300000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.24500000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.88700000000 / 2MASS J magnitude                              
# JERR    =      0.0340000000000 / 2MASS J magnitude error                        
# H       =        4.04800000000 / 2MASS H magnitude                              
# HERR    =       0.226000000000 / 2MASS H magnitude error                        
# KS      =        4.19100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0245719000000 / Relative error in the absolute flux calibration
# RV      =       -3.71605010000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.06000000000 / Intrinsic Color                                
# E(B-V)  =       0.185000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806796                8.48531e-11         1.27337e-13
             0.806998                8.26954e-11         1.25753e-13
             0.807201                8.07266e-11         1.24851e-13
             0.807403                8.00372e-11         1.24741e-13
             0.807606                8.03591e-11         1.23978e-13
             0.807808                8.18880e-11         1.25939e-13
             0.808011                8.33398e-11         1.27531e-13
             0.808213                8.16339e-11         1.25574e-13
             0.808415                7.98984e-11         1.25131e-13
             0.808618                8.10863e-11         1.26059e-13
             0.808820                8.22589e-11         1.25915e-13
             0.809023                8.25429e-11         1.27674e-13
             0.809225                7.93328e-11         1.24568e-13
             0.809427                7.65196e-11         1.23760e-13
             0.809630                7.75720e-11         1.24669e-13
             0.809832                8.00278e-11         1.26525e-13
             0.810034                7.99989e-11         1.26089e-13
             0.810237                8.10254e-11         1.26323e-13
             0.810237                8.10583e-11         1.05840e-13
             0.810471                8.06999e-11         1.07421e-13
             0.810704                7.89402e-11         1.11473e-13
             0.810937                7.93564e-11         1.16937e-13
             0.811170                8.04442e-11         1.15403e-13
             0.811403                8.08872e-11         1.09866e-13
             0.811636                7.95961e-11         1.05501e-13
             0.811869                7.93461e-11         1.04776e-13
             0.812103                8.03156e-11         1.08226e-13
             0.812336                8.16998e-11         1.14389e-13
             0.812569                8.20599e-11         1.19457e-13
             0.812802                8.02151e-11         1.11584e-13
             0.813035                8.03324e-11         1.06961e-13
             0.813268                8.09491e-11         1.05541e-13
             0.813501                8.13890e-11         1.07335e-13
             0.813734                8.21171e-11         1.12984e-13
             0.813967                8.14918e-11         1.17075e-13
             0.814200                8.10264e-11         1.15490e-13
             0.814433                8.03623e-11         1.09822e-13
             0.814666                8.11315e-11         1.07046e-13
             0.814899                8.11036e-11         1.06713e-13
             0.815132                8.00518e-11         1.08214e-13
             0.815366                8.12323e-11         1.13039e-13
             0.815599                8.19106e-11         1.19988e-13
             0.815832                8.24659e-11         1.15173e-13
             0.816065                8.35470e-11         1.10336e-13
             0.816298                8.06553e-11         1.07607e-13
             0.816531                8.03053e-11         1.09736e-13
             0.816764                8.18869e-11         1.13051e-13
             0.816997                8.16533e-11         1.16097e-13
             0.817230                8.18285e-11         1.17891e-13
             0.817463                8.17995e-11         1.10618e-13
             0.817695                8.17393e-11         1.06605e-13
             0.817928                8.25204e-11         1.08791e-13
             0.818161                8.10109e-11         1.10179e-13
             0.818394                7.90113e-11         1.11089e-13
             0.818627                7.80911e-11         1.14413e-13
             0.818860                7.91725e-11         1.11284e-13
             0.819093                8.09042e-11         1.09121e-13
             0.819326                8.28770e-11         1.07710e-13
             0.819559                7.83770e-11         1.03996e-13
             0.819792                7.67429e-11         1.04567e-13
             0.820025                8.00908e-11         1.11810e-13
             0.820258                8.01552e-11         1.14583e-13
             0.820491                8.00202e-11         1.07802e-13
             0.820724                7.98348e-11         1.03052e-13
             0.820956                7.93825e-11         1.02012e-13
             0.821189                8.03795e-11         1.02566e-13
             0.821422                8.02883e-11         1.06097e-13
             0.821655                7.96665e-11         1.09474e-13
             0.821888                8.17233e-11         1.10070e-13
             0.822121                8.04325e-11         1.05168e-13
             0.822354                7.85381e-11         1.01692e-13
             0.822586                8.23351e-11         1.03790e-13
             0.822819                8.38292e-11         1.08518e-13
