# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:05 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6689 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J07464256+2000321AB' /                                         
# SPTYPE  = 'L0.5    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.812268 / Minimum wavelength (um)                        
# MAXWAVE =              4.12771 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        11.7590000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        11.0070000000 / 2MASS H magnitude                              
# HERR    =      0.0220000000000 / 2MASS H magnitude error                        
# KS      =        10.4680000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0220000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0122792000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.812268                1.50356e-14         2.36762e-15
             0.812501                1.88958e-14         2.54014e-15
             0.812734                2.17585e-14         2.86127e-15
             0.812967                2.38169e-14         2.94200e-15
             0.813200                2.26381e-14         2.79767e-15
             0.813433                2.40028e-14         2.45039e-15
             0.813666                2.24844e-14         2.27363e-15
             0.813899                2.43868e-14         2.13322e-15
             0.814132                2.45288e-14         1.92519e-15
             0.814365                2.16196e-14         1.71859e-15
             0.814598                1.75261e-14         1.72228e-15
             0.814831                1.50995e-14         2.10688e-15
             0.815064                1.55605e-14         2.31057e-15
             0.815297                1.60025e-14         2.19596e-15
             0.815530                2.10688e-14         2.10915e-15
             0.815763                2.15423e-14         2.23510e-15
             0.815996                1.97829e-14         2.22883e-15
             0.816229                1.68793e-14         2.31333e-15
             0.816462                1.80821e-14         2.41650e-15
             0.816695                1.96475e-14         2.49147e-15
             0.816928                2.15841e-14         2.30053e-15
             0.817160                2.15623e-14         2.41238e-15
             0.817393                2.15784e-14         2.31273e-15
             0.817626                2.09160e-14         1.80679e-15
             0.817859                2.06970e-14         1.40212e-15
             0.818092                1.97212e-14         1.49106e-15
             0.818325                1.79219e-14         1.82772e-15
             0.818558                1.50988e-14         2.20542e-15
             0.818791                1.41708e-14         2.23631e-15
             0.819024                1.56095e-14         2.23477e-15
             0.819257                1.95846e-14         2.16057e-15
             0.819489                1.89954e-14         1.59280e-15
             0.819722                1.61133e-14         1.25021e-15
             0.819955                1.36691e-14         1.41064e-15
             0.820188                1.75280e-14         2.15590e-15
             0.820421                1.85270e-14         2.73227e-15
             0.820654                1.84456e-14         2.25136e-15
             0.820886                1.98201e-14         1.95490e-15
             0.821119                2.15797e-14         2.27141e-15
             0.821352                2.02154e-14         2.05555e-15
             0.821585                1.97352e-14         1.60757e-15
             0.821818                2.08053e-14         1.36820e-15
             0.822050                2.00773e-14         1.57807e-15
             0.822283                1.89158e-14         1.89312e-15
             0.822516                1.87194e-14         1.86456e-15
             0.822749                1.99824e-14         1.68152e-15
             0.822982                1.84777e-14         1.53690e-15
             0.823214                2.08936e-14         1.48470e-15
             0.823447                2.17828e-14         1.50076e-15
             0.823680                2.34047e-14         1.32533e-15
             0.823913                2.30827e-14         1.69721e-15
             0.824145                2.70836e-14         2.03264e-15
             0.824378                2.68592e-14         1.69416e-15
             0.824611                2.67638e-14         1.34270e-15
             0.824844                2.58541e-14         1.19630e-15
             0.825076                2.62397e-14         1.26750e-15
