# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:24 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 3592 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J15150083+4847416' /                                           
# SPTYPE  = 'L6 (NIR)'           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# MINWAVE =             0.935230 / Minimum wavelength (um)                        
# MAXWAVE =              2.41731 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        14.1110000000 / 2MASS J magnitude                              
# JERR    =      0.0290000000000 / 2MASS J magnitude error                        
# H       =        13.0990000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        12.5000000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0240000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0158795000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.935230                4.63643e-15         8.91499e-16
             0.935502                3.89346e-15         9.54844e-16
             0.935773                4.12624e-15         9.09035e-16
             0.936045                3.31697e-15         8.20423e-16
             0.936316                4.64573e-15         6.52163e-16
             0.936588                4.17011e-15         6.18421e-16
             0.936859                4.12617e-15         8.22692e-16
             0.937131                3.87632e-15         1.02311e-15
             0.937402                4.15563e-15         1.10125e-15
             0.937674                3.46995e-15         9.40885e-16
             0.937945                3.05870e-15         7.81049e-16
             0.938217                3.01537e-15         7.44043e-16
             0.938488                3.33424e-15         7.11312e-16
             0.938760                2.54286e-15         6.38023e-16
             0.939031                2.74697e-15         6.29914e-16
             0.939303                2.88607e-15         6.65750e-16
             0.939574                3.40564e-15         5.90962e-16
             0.939846                3.13570e-15         4.96805e-16
             0.940117                3.04729e-15         4.79247e-16
             0.940388                3.01512e-15         5.35537e-16
             0.940660                3.60512e-15         5.74197e-16
             0.940931                4.01561e-15         5.91810e-16
             0.941203                4.19548e-15         6.14564e-16
             0.941474                3.69749e-15         6.04889e-16
             0.941745                3.41423e-15         5.57369e-16
             0.942017                3.93586e-15         4.18815e-16
             0.942288                3.93366e-15         3.08505e-16
             0.942559                3.46211e-15         4.09235e-16
             0.942831                2.56479e-15         5.55458e-16
             0.943102                3.56734e-15         5.90701e-16
             0.943374                3.89919e-15         5.39837e-16
             0.943645                4.43271e-15         5.09290e-16
             0.943916                3.24359e-15         5.28697e-16
             0.944188                2.85009e-15         5.96419e-16
             0.944459                1.94549e-15         6.68224e-16
             0.944730                3.10873e-15         6.82385e-16
             0.945001                3.53743e-15         5.99709e-16
             0.945273                3.82384e-15         5.64030e-16
             0.945544                4.05987e-15         5.03558e-16
             0.945815                3.51344e-15         5.09729e-16
             0.946087                3.24470e-15         5.57125e-16
             0.946358                2.98341e-15         5.40172e-16
             0.946629                4.08675e-15         4.93390e-16
             0.946900                3.78325e-15         4.57352e-16
             0.947172                4.09715e-15         4.51949e-16
             0.947443                3.77388e-15         4.91721e-16
             0.947714                3.97098e-15         5.54410e-16
             0.947985                3.54975e-15         6.28244e-16
             0.948256                3.85048e-15         6.81291e-16
             0.948528                4.05112e-15         6.79981e-16
             0.948799                3.97829e-15         6.23863e-16
             0.949070                4.53453e-15         5.28691e-16
             0.949341                4.57712e-15         6.30861e-16
             0.949612                3.90543e-15         8.24287e-16
             0.949884                2.87183e-15         8.32800e-16
