# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:26 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 3589 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J08251968+2115521' /                                           
# SPTYPE  = 'L7.5    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# MINWAVE =             0.932267 / Minimum wavelength (um)                        
# MAXWAVE =              2.41217 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        15.1000000000 / 2MASS J magnitude                              
# JERR    =      0.0340000000000 / 2MASS J magnitude error                        
# H       =        13.7920000000 / 2MASS H magnitude                              
# HERR    =      0.0320000000000 / 2MASS H magnitude error                        
# KS      =        13.0280000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0173529000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.932267               -9.99000e+02        -9.99000e+02
             0.932539               -9.99000e+02        -9.99000e+02
             0.932810                1.00580e-15         2.66582e-16
             0.933082                6.29754e-16         2.39800e-16
             0.933354                7.83335e-16         2.49180e-16
             0.933626                1.34949e-15         2.63620e-16
             0.933897                1.43853e-15         2.61979e-16
             0.934169                1.37807e-15         2.65777e-16
             0.934441                1.51767e-15         2.70584e-16
             0.934713                1.47362e-15         2.70390e-16
             0.934984                9.34941e-16         2.52864e-16
             0.935256                6.55423e-16         2.24571e-16
             0.935528                7.30625e-16         2.22475e-16
             0.935799                1.20677e-15         2.38673e-16
             0.936071                9.70444e-16         2.41054e-16
             0.936343                6.15821e-16         2.16826e-16
             0.936614                2.62093e-16         1.94287e-16
             0.936886                1.90429e-16         2.09037e-16
             0.937158                1.63562e-16         2.26836e-16
             0.937429                2.56704e-16         2.37078e-16
             0.937701                8.45976e-16         2.53566e-16
             0.937973                1.17167e-15         2.81388e-16
             0.938244                1.61533e-15         2.84973e-16
             0.938516                1.36174e-15         2.63547e-16
             0.938788                1.30323e-15         2.38326e-16
             0.939059                1.27500e-15         2.21398e-16
             0.939331                1.41170e-15         2.16281e-16
             0.939602                1.26941e-15         2.18500e-16
             0.939874                1.40290e-15         1.94013e-16
             0.940146                1.18410e-15         1.94500e-16
             0.940417                8.24040e-16         2.12321e-16
             0.940689                6.73907e-16         2.10072e-16
             0.940960                8.09020e-16         1.97946e-16
             0.941232                7.57964e-16         1.83947e-16
             0.941503                8.62526e-16         1.77576e-16
             0.941775                1.04270e-15         1.75168e-16
             0.942046                1.02414e-15         1.72111e-16
             0.942318                1.04826e-15         1.79736e-16
             0.942589                1.22692e-15         2.01312e-16
             0.942861                1.35385e-15         2.25641e-16
             0.943132                1.16648e-15         2.35195e-16
             0.943404                9.63006e-16         2.43694e-16
             0.943675                1.05335e-15         2.30735e-16
             0.943947                1.42287e-15         2.02197e-16
             0.944218                1.44464e-15         1.97592e-16
             0.944490                1.21330e-15         2.12132e-16
             0.944761                1.15276e-15         2.21174e-16
             0.945033                1.39158e-15         2.11569e-16
             0.945304                1.47435e-15         1.96708e-16
             0.945576                1.24395e-15         2.00182e-16
             0.945847                7.69072e-16         1.99796e-16
             0.946118                7.21070e-16         1.94165e-16
             0.946390                8.95901e-16         1.93246e-16
             0.946661                1.10384e-15         1.96011e-16
             0.946933                9.81340e-16         1.97174e-16
             0.947204                9.96359e-16         1.88817e-16
             0.947475                1.11188e-15         1.89759e-16
             0.947747                1.31827e-15         2.00708e-16
             0.948018                1.16729e-15         1.87105e-16
             0.948289                9.97370e-16         1.70285e-16
             0.948561                6.58364e-16         1.67946e-16
             0.948832                8.07567e-16         1.67309e-16
             0.949103                1.01658e-15         1.68079e-16
             0.949375                1.57435e-15         1.76961e-16
             0.949646                1.46912e-15         1.84522e-16
             0.949917                1.08210e-15         1.77553e-16
             0.950189                8.06391e-16         1.52558e-16
             0.950460                1.07575e-15         1.46153e-16
             0.950731                1.42652e-15         1.54002e-16
             0.951003                1.63412e-15         1.45958e-16
             0.951274                1.61380e-15         1.48993e-16
             0.951545                1.53490e-15         1.56706e-16
             0.951816                1.22408e-15         1.66422e-16
             0.952088                9.13543e-16         1.82271e-16
             0.952359                7.43249e-16         1.88338e-16
             0.952630                9.11065e-16         1.69321e-16
             0.952901                1.27823e-15         1.49405e-16
             0.953173                1.46422e-15         1.53890e-16
             0.953444                1.09845e-15         1.46031e-16
             0.953715                7.35284e-16         1.22139e-16
             0.953986                8.79069e-16         1.23514e-16
             0.954258                1.42261e-15         1.36867e-16
             0.954529                1.50031e-15         1.50033e-16
             0.954800                1.62138e-15         1.63187e-16
             0.955071                1.69905e-15         1.64751e-16
             0.955342                1.66020e-15         1.61908e-16
             0.955613                1.43358e-15         1.65004e-16
             0.955885                1.46008e-15         1.63686e-16
             0.956156                1.50031e-15         1.49999e-16
             0.956427                1.50122e-15         1.29800e-16
             0.956698                1.47224e-15         1.26842e-16
             0.956969                1.41522e-15         1.30749e-16
             0.957240                1.32134e-15         1.26997e-16
             0.957511                1.27337e-15         1.39833e-16
             0.957783                1.23507e-15         1.55164e-16
             0.958054                1.23320e-15         1.51620e-16
             0.958325                1.06755e-15         1.39250e-16
             0.958596                9.49434e-16         1.33877e-16
             0.958867                1.11187e-15         1.37252e-16
             0.959138                1.47514e-15         1.42852e-16
             0.959409                1.24061e-15         1.35633e-16
             0.959680                1.02407e-15         1.36269e-16
             0.959951                1.07933e-15         1.49687e-16
             0.960222                1.24217e-15         1.47633e-16
             0.960493                1.10145e-15         1.32239e-16
             0.960764                1.20377e-15         1.23144e-16
             0.961035                1.31503e-15         1.26977e-16
             0.961307                1.24499e-15         1.25966e-16
             0.961578                1.27934e-15         1.15529e-16
             0.961848                1.33496e-15         1.10669e-16
             0.962120                1.28348e-15         1.16972e-16
             0.962391                1.26866e-15         1.15392e-16
             0.962662                1.54735e-15         1.12955e-16
             0.962933                1.55399e-15         1.19066e-16
             0.963203                1.54591e-15         1.17317e-16
             0.963475                1.55660e-15         1.18786e-16
             0.963745                1.50374e-15         1.26787e-16
             0.964016                1.42699e-15         1.28706e-16
             0.964287                1.58587e-15         1.16713e-16
             0.964558                1.67315e-15         1.11728e-16
             0.964829                1.36872e-15         1.16056e-16
             0.965100                1.01031e-15         1.17466e-16
             0.965371                1.02823e-15         1.11832e-16
             0.965642                1.25840e-15         1.18039e-16
             0.965913                1.40206e-15         1.25763e-16
             0.966184                1.37258e-15         1.08601e-16
             0.966455                1.24648e-15         8.87751e-17
             0.966726                1.12513e-15         9.32403e-17
             0.966997                9.21394e-16         1.02537e-16
             0.967267                1.06461e-15         1.04839e-16
             0.967538                1.36436e-15         1.08539e-16
             0.967809                1.59118e-15         1.11291e-16
             0.968080                1.51815e-15         1.13002e-16
             0.968351                1.43550e-15         1.18229e-16
             0.968622                1.30567e-15         1.14559e-16
             0.968893                1.17539e-15         1.02685e-16
             0.969163                1.22540e-15         9.37953e-17
             0.969434                1.38371e-15         9.71345e-17
             0.969705                1.32403e-15         1.06699e-16
             0.969976                1.38531e-15         1.19617e-16
             0.970247                1.59560e-15         1.27353e-16
             0.970518                1.72546e-15         1.18504e-16
             0.970788                1.77707e-15         1.01659e-16
             0.971059                1.77314e-15         9.16269e-17
             0.971330                1.75906e-15         9.43732e-17
             0.971601                1.55365e-15         1.05768e-16
             0.971872                1.49066e-15         1.13195e-16
             0.972142                1.35189e-15         1.09797e-16
             0.972413                1.39291e-15         1.11109e-16
             0.972684                1.50307e-15         1.19850e-16
             0.972955                1.60580e-15         1.17997e-16
             0.973225                1.60303e-15         1.12317e-16
             0.973496                1.66712e-15         1.17666e-16
             0.973767                1.78915e-15         1.15611e-16
             0.974038                1.82007e-15         1.08760e-16
             0.974308                1.76436e-15         1.10977e-16
             0.974579                1.60088e-15         1.10424e-16
             0.974850                1.60905e-15         1.02190e-16
             0.975120                1.70043e-15         1.05738e-16
             0.975391                1.73371e-15         1.06499e-16
             0.975662                1.43549e-15         1.02396e-16
             0.975932                1.33851e-15         1.07798e-16
             0.976203                1.32464e-15         1.15593e-16
             0.976474                1.53665e-15         1.18686e-16
             0.976744                1.47693e-15         1.13091e-16
             0.977015                1.45517e-15         1.00508e-16
             0.977286                1.61069e-15         1.02510e-16
             0.977556                1.55393e-15         1.04931e-16
             0.977827                1.37123e-15         9.77272e-17
             0.978098                1.28192e-15         9.74813e-17
             0.978368                1.55585e-15         9.72202e-17
             0.978639                1.64558e-15         9.78769e-17
             0.978910                1.73479e-15         9.97625e-17
             0.979180                1.85573e-15         9.64279e-17
             0.979451                1.83401e-15         9.41850e-17
             0.979721                1.74372e-15         9.59489e-17
             0.979992                1.64563e-15         1.04978e-16
             0.980263                1.80071e-15         1.14787e-16
             0.980533                1.96452e-15         1.21134e-16
             0.980804                2.14240e-15         1.21227e-16
             0.981074                1.86746e-15         1.09124e-16
