# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:28 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4112 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'DENIS-P 025503.3-470049.0' /                                         
# SPTYPE  = 'L8      '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.815175 / Minimum wavelength (um)                        
# MAXWAVE =              2.41736 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        13.2460000000 / 2MASS J magnitude                              
# JERR    =      0.0270000000000 / 2MASS J magnitude error                        
# H       =        12.2040000000 / 2MASS H magnitude                              
# HERR    =      0.0240000000000 / 2MASS H magnitude error                        
# KS      =        11.5580000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0240000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0143681000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.815175                2.79440e-15         1.59962e-15
             0.815408                1.17876e-15         1.79882e-15
             0.815642                5.80245e-16         1.30939e-15
             0.815875                1.30037e-15         6.77158e-16
             0.816109                9.72758e-16         7.63487e-16
             0.816342                1.22015e-15         1.23177e-15
             0.816576                9.41770e-16         1.48972e-15
             0.816809                1.48542e-15         1.49778e-15
             0.817043                1.48460e-15         1.73627e-15
             0.817276                2.23518e-15         1.78779e-15
             0.817509                1.32155e-15         1.20153e-15
             0.817743                1.10793e-15         6.18934e-16
             0.817976                2.52741e-15         7.47014e-16
             0.818210                2.87771e-15         1.05586e-15
             0.818443                1.96071e-15         1.14427e-15
             0.818676               -1.51192e-16         9.87634e-16
             0.818910                4.30124e-16         9.52115e-16
             0.819143                1.22009e-15         9.21962e-16
             0.819376                3.03774e-15         8.56278e-16
             0.819610                2.26761e-15         8.01559e-16
             0.819843                1.81896e-15         1.04540e-15
             0.820076                1.48940e-16         1.55502e-15
             0.820310               -3.31340e-16         1.90265e-15
             0.820543               -9.07436e-16         1.78783e-15
             0.820776               -3.75743e-16         1.45375e-15
             0.821010                9.00275e-16         1.04118e-15
             0.821243                2.42934e-15         7.58181e-16
             0.821476                2.42092e-15         6.65132e-16
             0.821709                1.89149e-15         9.40846e-16
             0.821943                2.48612e-15         1.35792e-15
             0.822176                3.74184e-15         1.37316e-15
             0.822409                1.19095e-15         1.30721e-15
             0.822642               -4.99386e-16         1.42123e-15
             0.822875               -1.32365e-15         1.09733e-15
             0.823109                3.76957e-16         8.47324e-16
             0.823342                5.28260e-16         8.78960e-16
             0.823575                2.68900e-15         6.96857e-16
             0.823808                3.35547e-15         7.87039e-16
             0.824041                2.55409e-15         9.55700e-16
             0.824275                1.59836e-15         9.46738e-16
             0.824508                2.35632e-15         1.02830e-15
             0.824741                3.03111e-15         1.12291e-15
             0.824974                2.16272e-15         1.16383e-15
             0.825207                2.13834e-15         1.03268e-15
             0.825440                1.46641e-15         8.64922e-16
             0.825674                1.30084e-15         7.33390e-16
             0.825907                2.03790e-15         6.50945e-16
             0.826140                2.09737e-15         5.11504e-16
             0.826373                3.29737e-16         3.81607e-16
             0.826606               -9.15964e-16         4.89362e-16
             0.826839               -7.48479e-18         6.29393e-16
             0.827072                1.51882e-15         7.01671e-16
             0.827305                1.35056e-15         1.06852e-15
             0.827538                3.41472e-16         1.35787e-15
             0.827771                3.29775e-16         9.94516e-16
             0.828004                1.10941e-15         6.79896e-16
             0.828237                2.32859e-15         8.70066e-16
             0.828470                1.59572e-15         8.27521e-16
             0.828703                2.97048e-16         6.87375e-16
             0.828936               -1.19476e-15         6.02505e-16
             0.829169                2.68093e-16         6.92196e-16
             0.829402                1.05944e-15         6.47628e-16
             0.829635                4.31418e-16         4.60795e-16
             0.829868               -3.47533e-16         6.33298e-16
             0.830101                3.98614e-16         9.14731e-16
             0.830334                2.79000e-15         1.16787e-15
             0.830567                3.70033e-15         1.37791e-15
             0.830800                2.80247e-15         1.09612e-15
             0.831033                1.10125e-15         6.09974e-16
             0.831266                7.49844e-16         5.58841e-16
             0.831499                8.34203e-16         6.64578e-16
             0.831732                1.85378e-15         6.81451e-16
             0.831965                3.06685e-15         6.48245e-16
             0.832198                3.00552e-15         7.49029e-16
             0.832431                1.99939e-15         8.82903e-16
             0.832664                1.31269e-15         7.74296e-16
             0.832897                1.47268e-15         5.45490e-16
             0.833129                1.26600e-15         4.01632e-16
             0.833362                2.03598e-15         5.30218e-16
             0.833595                2.24352e-15         7.04322e-16
             0.833828                1.91842e-15         7.49291e-16
             0.834061                1.06087e-15         8.30190e-16
             0.834294                1.55584e-15         7.27263e-16
             0.834526                1.44107e-15         6.25811e-16
             0.834759                1.38123e-15         7.84442e-16
             0.834992                1.83311e-15         8.33750e-16
             0.835225                1.60175e-15         7.53112e-16
             0.835458                4.31563e-16         8.16204e-16
             0.835691                2.84449e-16         8.55269e-16
             0.835923                1.39873e-15         7.06102e-16
             0.836156                1.10863e-15         6.10348e-16
             0.836389                1.22014e-15         6.50945e-16
             0.836622                2.32663e-15         6.73450e-16
             0.836854                2.74340e-15         5.62156e-16
             0.837087                1.40004e-15         6.75302e-16
             0.837320                1.14863e-15         8.76489e-16
             0.837553                2.24759e-15         9.07530e-16
             0.837785                1.71761e-15         8.19658e-16
             0.838018                1.26968e-15         5.85378e-16
             0.838251                1.27658e-15         3.94016e-16
             0.838484                1.95658e-15         3.40807e-16
             0.838716                1.41094e-15         3.33833e-16
             0.838949                8.56130e-16         4.81299e-16
             0.839182                2.07422e-18         6.10036e-16
             0.839414                1.42159e-15         6.79293e-16
             0.839647                2.76508e-15         8.52040e-16
             0.839880                3.20716e-15         9.42133e-16
             0.840112                1.90016e-15         7.46885e-16
