# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:10 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 3594 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J02081833+2542533' /                                           
# SPTYPE  = 'L1      '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.935314 / Minimum wavelength (um)                        
# MAXWAVE =              2.41767 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        13.9890000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        13.1070000000 / 2MASS H magnitude                              
# HERR    =      0.0300000000000 / 2MASS H magnitude error                        
# KS      =        12.5880000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0270000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0158867000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.935314                7.30514e-16         2.15856e-15
             0.935586               -1.08678e-15         2.29480e-15
             0.935858                2.53731e-15         1.31845e-15
             0.936130               -2.25935e-15         1.59841e-15
             0.936402                3.45725e-15         1.70168e-15
             0.936674                1.71444e-15         1.95398e-15
             0.936946                6.80436e-15         2.71650e-15
             0.937218                4.83701e-15         2.74685e-15
             0.937490                3.62483e-15         2.63588e-15
             0.937762                3.35180e-15         1.46339e-15
             0.938033                4.00255e-15         2.19403e-15
             0.938305                2.14819e-15         1.92069e-15
             0.938577                3.19402e-15         1.20535e-15
             0.938849                5.83048e-15         1.07068e-15
             0.939121                3.31254e-15         1.37296e-15
             0.939393                3.62456e-16         1.12782e-15
             0.939664                5.27001e-15         1.34034e-15
             0.939936                4.17500e-15         1.71791e-15
             0.940208                1.67486e-15         1.31215e-15
             0.940480                5.19135e-15         1.86219e-15
             0.940752                3.47862e-15         1.05090e-15
             0.941023                3.73416e-15         1.23783e-15
             0.941295                4.65022e-15         1.74173e-15
             0.941567                2.17149e-15         1.58597e-15
             0.941839                1.16428e-15         1.77291e-15
             0.942110                1.57843e-15         1.28211e-15
             0.942382                2.00669e-15         1.46498e-15
             0.942654                3.52585e-15         1.17067e-15
             0.942926                5.69518e-15         1.72570e-15
             0.943197                2.85062e-15         1.36630e-15
             0.943469                5.37269e-15         1.05085e-15
             0.943741                4.67722e-15         1.03501e-15
             0.944012                2.09280e-15         1.75140e-15
             0.944284                3.87054e-15         1.67854e-15
             0.944556               -3.61123e-16         2.06555e-15
             0.944827                2.17772e-15         1.40682e-15
             0.945099                2.59007e-15         1.34016e-15
             0.945371                2.06126e-15         1.51150e-15
             0.945642                4.41214e-15         1.58158e-15
             0.945914               -5.12818e-16         1.11770e-15
             0.946186                2.99834e-15         2.05238e-15
             0.946457                7.14978e-15         1.44325e-15
             0.946729                3.05938e-15         1.09595e-15
             0.947001                6.40430e-15         1.29000e-15
             0.947272                3.72312e-15         1.27974e-15
             0.947544                4.22828e-15         1.72022e-15
             0.947815                5.20010e-15         1.88867e-15
             0.948087                4.36086e-15         1.30273e-15
             0.948358                5.73002e-15         1.52398e-15
             0.948630                7.67704e-15         1.07693e-15
             0.948901                3.32439e-15         1.05144e-15
             0.949173                3.62973e-15         7.74186e-16
             0.949445                5.62225e-15         1.14330e-15
             0.949716                6.49384e-15         8.87002e-16
