# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:07 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6711 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J14392836+1929149' /                                           
# SPTYPE  = 'L1      '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.810444 / Minimum wavelength (um)                        
# MAXWAVE =              4.13614 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        12.7590000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        12.0410000000 / 2MASS H magnitude                              
# HERR    =      0.0190000000000 / 2MASS H magnitude error                        
# KS      =        11.5460000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0220000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0114660000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810444                5.68281e-15         1.87817e-15
             0.810678                3.84971e-15         1.99331e-15
             0.810911                2.54419e-15         2.28944e-15
             0.811144                8.31010e-16         2.71363e-15
             0.811378                2.17231e-15         2.79960e-15
             0.811611                3.36537e-15         2.38905e-15
             0.811844                5.90156e-15         2.05024e-15
             0.812078                4.32485e-15         2.20539e-15
             0.812311                2.99952e-15         2.28565e-15
             0.812544                2.28350e-15         2.51825e-15
             0.812778                4.57973e-15         2.67950e-15
             0.813011                5.23932e-15         2.57983e-15
             0.813244                2.19070e-15         2.37273e-15
             0.813478                2.13361e-15         2.03719e-15
             0.813711                9.46184e-16         1.77000e-15
             0.813944                3.00522e-15         1.66774e-15
             0.814177                3.37539e-15         1.99132e-15
             0.814411                5.94889e-15         2.13647e-15
             0.814644                1.79552e-15         1.83810e-15
             0.814877                1.04849e-15         1.96256e-15
             0.815110                2.73532e-15         2.23898e-15
             0.815344                4.63529e-15         1.96526e-15
             0.815577                3.01720e-15         2.09721e-15
             0.815810                2.45854e-15         2.44084e-15
             0.816043                2.77202e-15         1.97351e-15
             0.816277                1.90787e-15         1.46752e-15
             0.816510                3.59945e-15         1.73009e-15
             0.816743                4.72859e-15         2.03105e-15
             0.816976                5.17437e-15         1.94498e-15
             0.817209                3.19254e-15         1.49666e-15
             0.817442                4.04322e-15         1.20998e-15
             0.817676                5.31312e-15         1.37208e-15
             0.817909                5.63389e-15         1.80260e-15
             0.818142                7.90350e-15         2.04608e-15
             0.818375                7.42947e-15         1.88336e-15
             0.818608                5.41918e-15         1.72817e-15
             0.818841                4.38899e-15         1.60138e-15
             0.819074                6.73327e-15         1.38256e-15
             0.819308                4.47344e-15         1.30543e-15
             0.819541                3.06147e-15         1.36853e-15
             0.819774                5.79746e-15         1.64963e-15
             0.820007                7.45953e-15         1.77297e-15
             0.820240                4.32793e-15         1.66175e-15
             0.820473               -3.68867e-16         1.61804e-15
             0.820706                3.18774e-16         1.50485e-15
             0.820939                3.24940e-15         1.43180e-15
             0.821172                6.18181e-15         1.48313e-15
             0.821405                5.16915e-15         1.69830e-15
             0.821638                7.02739e-15         1.93379e-15
             0.821871                8.28279e-15         1.69732e-15
             0.822104                7.66350e-15         1.71116e-15
             0.822337                5.12404e-15         1.96596e-15
             0.822570                3.76807e-15         1.79999e-15
             0.822803                3.57571e-15         1.93197e-15
             0.823036                4.13743e-15         2.22217e-15
             0.823269                3.83990e-15         1.98934e-15
             0.823502                4.01145e-15         1.70674e-15
             0.823735                6.40597e-15         1.33814e-15
             0.823968                7.72150e-15         1.20562e-15
             0.824201                5.31502e-15         1.60819e-15
             0.824434                5.25670e-15         1.68301e-15
             0.824667                9.07527e-15         1.44190e-15
             0.824900                9.99067e-15         1.38863e-15
             0.825133                8.77332e-15         1.27732e-15
             0.825366                7.86764e-15         1.12658e-15
             0.825599                8.93709e-15         1.22617e-15
             0.825832                8.74655e-15         1.45260e-15
             0.826065                1.04053e-14         1.54577e-15
             0.826298                8.92742e-15         1.48448e-15
             0.826530                8.74419e-15         1.45495e-15
             0.826763                7.41140e-15         1.41177e-15
             0.826996                8.37400e-15         1.27666e-15
             0.827229                7.58819e-15         1.33037e-15
             0.827462                7.47311e-15         1.39426e-15
             0.827695                6.89640e-15         1.25640e-15
             0.827928                7.22064e-15         1.16086e-15
             0.828161                8.09341e-15         1.13162e-15
             0.828393                8.99105e-15         1.04104e-15
             0.828626                9.47115e-15         1.12354e-15
             0.828859                7.77053e-15         1.30504e-15
             0.829092                6.66755e-15         1.23228e-15
             0.829325                6.20510e-15         1.18168e-15
             0.829557                5.49338e-15         1.24049e-15
             0.829790                6.28521e-15         1.25618e-15
             0.830023                8.14325e-15         1.37998e-15
             0.830256                7.62456e-15         1.35542e-15
             0.830489                7.04986e-15         1.27097e-15
             0.830721                7.01350e-15         1.05056e-15
             0.830954                9.00855e-15         1.01220e-15
             0.831187                1.17024e-14         1.20378e-15
             0.831420                1.23922e-14         1.31193e-15
             0.831652                1.00088e-14         1.45879e-15
             0.831885                7.56724e-15         1.66682e-15
             0.832118                7.58438e-15         1.55480e-15
             0.832351                7.11779e-15         1.34696e-15
             0.832583                7.25569e-15         1.23810e-15
             0.832816                5.91096e-15         1.15323e-15
             0.833049                6.21175e-15         1.05863e-15
             0.833281                6.82776e-15         9.70785e-16
             0.833514                6.97412e-15         1.04018e-15
             0.833747                5.12394e-15         1.14246e-15
             0.833979                5.67239e-15         1.07974e-15
             0.834212                6.87387e-15         9.63942e-16
             0.834445                7.29994e-15         1.09620e-15
             0.834677                7.01283e-15         1.36580e-15
             0.834910                6.77208e-15         1.40195e-15
             0.835143                7.53364e-15         1.34355e-15
             0.835375                7.62889e-15         1.43567e-15
             0.835608                8.53606e-15         1.44463e-15
             0.835841                9.26321e-15         1.38002e-15
             0.836073                1.01298e-14         1.19183e-15
             0.836306                1.00958e-14         9.35164e-16
             0.836538                8.58231e-15         7.83788e-16
             0.836771                7.87385e-15         9.54968e-16
             0.837004                7.45897e-15         1.18899e-15
