# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:13 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 3587 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J11463449+2230527AB' /                                         
# SPTYPE  = 'L3      '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# MINWAVE =             0.932289 / Minimum wavelength (um)                        
# MAXWAVE =              2.41211 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        14.1650000000 / 2MASS J magnitude                              
# JERR    =      0.0280000000000 / 2MASS J magnitude error                        
# H       =        13.1820000000 / 2MASS H magnitude                              
# HERR    =      0.0260000000000 / 2MASS H magnitude error                        
# KS      =        12.5900000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0153681000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.932289               -9.99000e+02        -9.99000e+02
             0.932561               -9.99000e+02        -9.99000e+02
             0.932832                3.27952e-15         5.14955e-16
             0.933104                3.57448e-15         4.30921e-16
             0.933376                4.19907e-15         4.07431e-16
             0.933648                4.16609e-15         4.20598e-16
             0.933919                3.14823e-15         3.98236e-16
             0.934191                2.52956e-15         3.89518e-16
             0.934463                3.01471e-15         4.01105e-16
             0.934734                3.44791e-15         4.75807e-16
             0.935006                3.34856e-15         4.98978e-16
             0.935278                3.42376e-15         4.11645e-16
             0.935549                3.79143e-15         3.46635e-16
             0.935821                4.58018e-15         3.68316e-16
             0.936093                4.43239e-15         3.95155e-16
             0.936364                3.76718e-15         3.73712e-16
             0.936636                2.41614e-15         3.42488e-16
             0.936907                2.15865e-15         3.57087e-16
             0.937179                1.58574e-15         3.76114e-16
             0.937451                1.82563e-15         3.99196e-16
             0.937722                2.06641e-15         4.60073e-16
             0.937994                2.93913e-15         5.02302e-16
             0.938265                2.46600e-15         4.87969e-16
             0.938537                2.35408e-15         4.49699e-16
             0.938809                2.31143e-15         4.45028e-16
             0.939080                2.99134e-15         4.26244e-16
             0.939352                3.45858e-15         3.65684e-16
             0.939623                3.58855e-15         2.90345e-16
             0.939895                3.60381e-15         2.55092e-16
             0.940166                3.51880e-15         3.02229e-16
             0.940438                4.00540e-15         3.89121e-16
             0.940709                4.02113e-15         4.36577e-16
             0.940981                4.23687e-15         4.09399e-16
             0.941252                3.47306e-15         3.55308e-16
             0.941524                3.03857e-15         3.00194e-16
             0.941795                3.31815e-15         3.02979e-16
             0.942067                3.86022e-15         3.14276e-16
             0.942338                3.54981e-15         3.32228e-16
             0.942610                3.01230e-15         3.87753e-16
             0.942881                3.17283e-15         4.14500e-16
             0.943153                3.57521e-15         3.93508e-16
             0.943424                3.59235e-15         3.40235e-16
             0.943695                3.65880e-15         3.25801e-16
             0.943967                3.01767e-15         3.48145e-16
             0.944238                2.83783e-15         3.38799e-16
             0.944510                2.89872e-15         3.34500e-16
             0.944781                3.33729e-15         3.17259e-16
             0.945052                3.36685e-15         2.98928e-16
             0.945324                3.14612e-15         2.76406e-16
             0.945595                3.72662e-15         2.65993e-16
             0.945867                3.88945e-15         2.56211e-16
             0.946138                4.21335e-15         2.50467e-16
             0.946409                3.47111e-15         2.71191e-16
             0.946681                3.19376e-15         3.01647e-16
             0.946952                3.15115e-15         2.77466e-16
