# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:20 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6207 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J15074769-1627386' /                                           
# SPTYPE  = 'L5      '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.931857 / Minimum wavelength (um)                        
# MAXWAVE =              4.15235 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        12.8300000000 / 2MASS J magnitude                              
# JERR    =      0.0270000000000 / 2MASS J magnitude error                        
# H       =        11.8950000000 / 2MASS H magnitude                              
# HERR    =      0.0240000000000 / 2MASS H magnitude error                        
# KS      =        11.3120000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0147648000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.931857                1.15759e-14         1.00640e-15
             0.932129                1.07094e-14         9.56780e-16
             0.932401                1.12260e-14         9.18406e-16
             0.932673                1.17797e-14         9.57321e-16
             0.932945                1.04476e-14         1.01954e-15
             0.933216                1.03267e-14         9.22520e-16
             0.933488                1.02989e-14         8.54217e-16
             0.933760                8.92563e-15         9.52700e-16
             0.934032                7.42717e-15         1.10043e-15
             0.934304                8.42106e-15         1.18931e-15
             0.934576                1.08283e-14         1.17952e-15
             0.934847                1.19120e-14         1.09822e-15
             0.935119                1.10546e-14         9.46187e-16
             0.935391                9.47518e-15         8.60540e-16
             0.935663                1.00593e-14         9.75157e-16
             0.935934                9.97000e-15         1.08731e-15
             0.936206                1.02818e-14         1.01185e-15
             0.936478                1.08245e-14         8.84787e-16
             0.936750                1.11471e-14         8.73074e-16
             0.937021                1.02912e-14         8.69669e-16
             0.937293                1.09414e-14         9.37299e-16
             0.937565                1.27203e-14         9.87561e-16
             0.937837                1.30492e-14         8.97853e-16
             0.938108                1.27482e-14         8.78258e-16
             0.938380                1.25522e-14         8.81706e-16
             0.938652                1.22974e-14         7.75428e-16
             0.938923                1.21528e-14         7.48279e-16
             0.939195                1.20639e-14         7.69753e-16
             0.939467                1.06965e-14         7.42465e-16
             0.939738                9.85799e-15         7.21484e-16
             0.940010                1.06454e-14         7.16567e-16
             0.940282                1.13500e-14         7.20234e-16
             0.940553                1.12935e-14         7.17861e-16
             0.940825                1.24757e-14         7.31720e-16
             0.941097                1.37226e-14         7.34324e-16
             0.941368                1.29505e-14         7.64278e-16
             0.941640                1.12729e-14         7.53047e-16
             0.941911                1.01088e-14         6.78042e-16
             0.942183                1.07982e-14         7.25896e-16
             0.942455                1.19220e-14         9.19652e-16
             0.942726                1.28775e-14         1.03615e-15
             0.942998                1.32927e-14         1.00215e-15
             0.943269                1.39193e-14         8.89196e-16
             0.943541                1.38483e-14         7.59814e-16
             0.943812                1.32825e-14         7.25272e-16
             0.944084                1.24371e-14         8.13429e-16
             0.944355                1.05004e-14         8.37365e-16
             0.944627                9.98097e-15         8.05720e-16
             0.944898                1.26397e-14         7.44655e-16
             0.945170                1.41896e-14         6.41264e-16
             0.945441                1.36055e-14         6.28443e-16
             0.945713                1.17776e-14         7.31855e-16
             0.945984                1.19324e-14         8.56850e-16
             0.946256                1.18085e-14         9.37947e-16
             0.946527                1.36627e-14         9.52607e-16
             0.946799                1.45685e-14         8.92165e-16
