# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:35 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6729 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'BD +44 2267'        /                                                
# SPTYPE  = 'S2.5 Zr 2'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2008 Apr 02'        / UT date of SXD observations                    
# LXDUT   = '2008 Apr 02'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.801935 / Minimum wavelength (um)                        
# MAXWAVE =              4.11892 / Maximum wavelength (um)                        
# V       =        9.80100000000 / V magnitude                                    
# VERR    =      0.0420000000000 / V magnitude error                              
# (B-V)   =        1.88600000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        6.27800000000 / 2MASS J magnitude                              
# JERR    =      0.0350000000000 / 2MASS J magnitude error                        
# H       =        5.43100000000 / 2MASS H magnitude                              
# HERR    =      0.0610000000000 / 2MASS H magnitude error                        
# KS      =        5.15700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0154830000000 / Relative error in the absolute flux calibration
# RV      =       -39.2872910000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.801935                1.11942e-11         4.10340e-14
             0.802137                1.10466e-11         3.86295e-14
             0.802340                1.09612e-11         3.81472e-14
             0.802542                1.02147e-11         3.68634e-14
             0.802745                9.35527e-12         3.49207e-14
             0.802947                9.73388e-12         3.54982e-14
             0.803150                1.04318e-11         3.70954e-14
             0.803352                1.08396e-11         3.78185e-14
             0.803693                1.15286e-11         3.77798e-14
             0.803926                1.17507e-11         3.63442e-14
             0.804160                1.13194e-11         3.46186e-14
             0.804393                1.05169e-11         3.37072e-14
             0.804627                1.02259e-11         3.49276e-14
             0.804860                1.01784e-11         3.75525e-14
             0.805094                1.01372e-11         3.62806e-14
             0.805327                1.03803e-11         3.63952e-14
             0.805561                1.05203e-11         3.39900e-14
             0.805794                1.04892e-11         3.32557e-14
             0.806028                1.00980e-11         3.37647e-14
             0.806261                1.01076e-11         3.56042e-14
             0.806495                1.05442e-11         3.83023e-14
             0.806728                1.05632e-11         3.57609e-14
             0.806962                9.97938e-12         3.29957e-14
             0.807195                9.76154e-12         3.21639e-14
             0.807429                1.00264e-11         3.29510e-14
             0.807662                1.02724e-11         3.53195e-14
             0.807896                1.06230e-11         3.75432e-14
             0.808129                1.05380e-11         3.64070e-14
             0.808362                1.03670e-11         3.42048e-14
             0.808596                1.07175e-11         3.38660e-14
             0.808829                1.08120e-11         3.37943e-14
             0.809063                1.01702e-11         3.39293e-14
             0.809296                9.38132e-12         3.39162e-14
             0.809529                9.47989e-12         3.58947e-14
             0.809763                9.87141e-12         3.41817e-14
             0.809996                9.98670e-12         3.28316e-14
             0.810229                1.01652e-11         3.26152e-14
             0.810463                1.00951e-11         3.26614e-14
             0.810696                1.00311e-11         3.39652e-14
             0.810929                1.00019e-11         3.57799e-14
             0.811163                1.01819e-11         3.56200e-14
             0.811396                1.02437e-11         3.37345e-14
             0.811629                9.70174e-12         3.17828e-14
             0.811863                9.58178e-12         3.14504e-14
             0.812096                9.72921e-12         3.27656e-14
             0.812329                9.89914e-12         3.42081e-14
             0.812562                1.02426e-11         3.67589e-14
             0.812796                1.03480e-11         3.46124e-14
             0.813029                1.03559e-11         3.31530e-14
             0.813262                9.86603e-12         3.17933e-14
             0.813495                1.00214e-11         3.23040e-14
             0.813729                1.03391e-11         3.40582e-14
             0.813962                1.04626e-11         3.60616e-14
             0.814195                1.02634e-11         3.54288e-14
             0.814428                9.94840e-12         3.34145e-14
             0.814661                1.01648e-11         3.23136e-14
             0.814895                1.03731e-11         3.24647e-14
             0.815128                1.02833e-11         3.31951e-14
             0.815361                1.02768e-11         3.44400e-14
             0.815594                1.04925e-11         3.66901e-14
             0.815827                1.08198e-11         3.56308e-14
             0.816061                1.04415e-11         3.32853e-14
             0.816294                9.71746e-12         3.15914e-14
             0.816527                9.86098e-12         3.21979e-14
             0.816760                1.02584e-11         3.42199e-14
             0.816993                1.05152e-11         3.71088e-14
             0.817226                1.05261e-11         3.59550e-14
             0.817459                1.01812e-11         3.35847e-14
             0.817693                1.03144e-11         3.26235e-14
             0.817926                1.05971e-11         3.30805e-14
             0.818159                1.03302e-11         3.33454e-14
             0.818392                1.01515e-11         3.41479e-14
             0.818625                9.95500e-12         3.53429e-14
             0.818858                9.99285e-12         3.41299e-14
             0.819091                1.09033e-11         3.42467e-14
             0.819324                1.11556e-11         3.38692e-14
             0.819557                1.04266e-11         3.26368e-14
             0.819790                1.05052e-11         3.36429e-14
             0.820023                1.02996e-11         3.46988e-14
             0.820256                9.68273e-12         3.39715e-14
             0.820489                9.44164e-12         3.19688e-14
             0.820722                9.80003e-12         3.14441e-14
             0.820955                1.04248e-11         3.19086e-14
             0.821188                1.07724e-11         3.29424e-14
             0.821421                1.04890e-11         3.34970e-14
             0.821654                1.07503e-11         3.55187e-14
             0.821887                1.11246e-11         3.54047e-14
             0.822120                1.09082e-11         3.36176e-14
             0.822353                1.06350e-11         3.24304e-14
             0.822586                1.10904e-11         3.31959e-14
             0.822819                1.12381e-11         3.43235e-14
             0.823052                1.10814e-11         3.58333e-14
             0.823285                1.09045e-11         3.64851e-14
             0.823518                1.09262e-11         3.47020e-14
             0.823751                1.10819e-11         3.40167e-14
             0.823984                1.09165e-11         3.24848e-14
             0.824217                1.05949e-11         3.45483e-14
             0.824450                1.07039e-11         3.43410e-14
             0.824683                1.10813e-11         3.53728e-14
             0.824915                1.07629e-11         3.41303e-14
             0.825148                1.03902e-11         3.22666e-14
             0.825381                1.00684e-11         3.08124e-14
             0.825614                1.01122e-11         3.08228e-14
             0.825847                1.06287e-11         3.22796e-14
             0.826080                1.12432e-11         3.43870e-14
             0.826313                1.12815e-11         3.57156e-14
             0.826545                1.09518e-11         3.37364e-14
             0.826778                1.08956e-11         3.25901e-14
             0.827011                1.12020e-11         3.23999e-14
             0.827244                1.11710e-11         3.25238e-14
             0.827477                1.06590e-11         3.24125e-14
             0.827710                1.05916e-11         3.34700e-14
             0.827942                1.10335e-11         3.46415e-14
             0.828175                1.10410e-11         3.32326e-14
             0.828408                1.05791e-11         3.16646e-14
             0.828641                1.07292e-11         3.16080e-14
             0.828874                1.08534e-11         3.22692e-14
             0.829106                1.08868e-11         3.33231e-14
             0.829339                1.11894e-11         3.48995e-14
             0.829572                1.08477e-11         3.33613e-14
             0.829805                1.02020e-11         3.14611e-14
             0.830037                1.02495e-11         3.08621e-14
             0.830270                1.06643e-11         3.14356e-14
             0.830503                1.03975e-11         3.17517e-14
             0.830736                9.63663e-12         3.15426e-14
             0.830968                9.55259e-12         3.18369e-14
             0.831201                9.88732e-12         3.13605e-14
             0.831434                1.03030e-11         3.11951e-14
             0.831666                1.08089e-11         3.20276e-14
             0.831899                1.10543e-11         3.22351e-14
             0.832132                1.04934e-11         3.20255e-14
             0.832364                1.02260e-11         3.25604e-14
             0.832597                1.00904e-11         3.19858e-14
             0.832830                9.94209e-12         3.07771e-14
             0.833062                1.03334e-11         3.07181e-14
             0.833295                1.01262e-11         3.01206e-14
             0.833528                9.82936e-12         2.99915e-14
             0.833760                1.02470e-11         3.13334e-14
             0.833993                1.05850e-11         3.29815e-14
             0.834226                1.09262e-11         3.30097e-14
             0.834458                1.07555e-11         3.19223e-14
             0.834691                1.02084e-11         3.04836e-14
             0.834923                9.91661e-12         3.12185e-14
             0.835156                1.03361e-11         3.09327e-14
             0.835389                1.04778e-11         3.20176e-14
             0.835621                1.03434e-11         3.20553e-14
             0.835854                1.04824e-11         3.13595e-14
             0.836086                1.07032e-11         3.09746e-14
             0.836319                1.04583e-11         3.03965e-14
             0.836552                9.97239e-12         3.04377e-14
             0.836784                1.03876e-11         3.09302e-14
             0.837017                1.07117e-11         3.24521e-14
             0.837249                1.06429e-11         3.19074e-14
             0.837482                1.08035e-11         3.13677e-14
