# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:37 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7660 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 64332'           /                                                
# SPTYPE  = 'S4.5 Zr 2 Ti 4'     / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Mar 16'        / UT date of SXD observations                    
# LXDUT   = '2007 Mar 16'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806027 / Minimum wavelength (um)                        
# MAXWAVE =              5.05543 / Maximum wavelength (um)                        
# V       =        7.55000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.73000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        3.54200000000 / 2MASS J magnitude                              
# JERR    =       0.292000000000 / 2MASS J magnitude error                        
# H       =        2.58700000000 / 2MASS H magnitude                              
# HERR    =       0.212000000000 / 2MASS H magnitude error                        
# KS      =        2.30600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.274000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.145405000000 / Relative error in the absolute flux calibration
# RV      =        20.3870720000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806027                1.37910e-10         3.29216e-13
             0.806229                1.38750e-10         3.31149e-13
             0.806432                1.37909e-10         3.28963e-13
             0.806634                1.39299e-10         3.32878e-13
             0.806836                1.37461e-10         3.31298e-13
             0.807039                1.31436e-10         3.23544e-13
             0.807241                1.30033e-10         3.21345e-13
             0.807444                1.34449e-10         3.27291e-13
             0.807646                1.36323e-10         3.32118e-13
             0.807849                1.39653e-10         3.35952e-13
             0.808051                1.42739e-10         3.39805e-13
             0.808254                1.40500e-10         3.38162e-13
             0.808456                1.39865e-10         3.39391e-13
             0.808659                1.41731e-10         3.39079e-13
             0.808861                1.42984e-10         3.44419e-13
             0.809064                1.41938e-10         3.41664e-13
             0.809266                1.35782e-10         3.31901e-13
             0.809468                1.30504e-10         3.32224e-13
             0.809601                1.31975e-10         3.06166e-13
             0.809835                1.36682e-10         2.96134e-13
             0.810068                1.38968e-10         2.92032e-13
             0.810301                1.40868e-10         2.93804e-13
             0.810535                1.40841e-10         3.05999e-13
             0.810768                1.40206e-10         3.20838e-13
             0.811001                1.39325e-10         3.22310e-13
             0.811235                1.39392e-10         3.04734e-13
             0.811468                1.38915e-10         2.91697e-13
             0.811701                1.31344e-10         2.81559e-13
             0.811934                1.31663e-10         2.87096e-13
             0.812168                1.37768e-10         3.06448e-13
             0.812401                1.42137e-10         3.29564e-13
             0.812634                1.43576e-10         3.16086e-13
             0.812868                1.43527e-10         3.00598e-13
             0.813101                1.43454e-10         3.02414e-13
             0.813334                1.38959e-10         2.90546e-13
             0.813567                1.39663e-10         2.99318e-13
             0.813800                1.45195e-10         3.22057e-13
             0.814034                1.46652e-10         3.29147e-13
             0.814267                1.45171e-10         3.10459e-13
             0.814500                1.40565e-10         2.91016e-13
             0.814733                1.41560e-10         2.89579e-13
             0.814966                1.44077e-10         2.99051e-13
             0.815200                1.44355e-10         3.13807e-13
             0.815433                1.43862e-10         3.27194e-13
             0.815666                1.45261e-10         3.17909e-13
             0.815899                1.48588e-10         3.06883e-13
             0.816132                1.41851e-10         2.94310e-13
             0.816366                1.36432e-10         2.92468e-13
             0.816599                1.42658e-10         3.03750e-13
             0.816832                1.46733e-10         3.19647e-13
             0.817065                1.46452e-10         3.28089e-13
             0.817298                1.45687e-10         3.10656e-13
             0.817531                1.45368e-10         2.97658e-13
             0.817764                1.47067e-10         2.97489e-13
             0.817997                1.48120e-10         3.12822e-13
             0.818230                1.44838e-10         3.10828e-13
             0.818464                1.39402e-10         3.16709e-13
             0.818697                1.37062e-10         3.13324e-13
             0.818930                1.40299e-10         3.00264e-13
