# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:41 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7674 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 62164'           /                                                
# SPTYPE  = 'S5-S6 Zr 3 to 4 Ti 0' / Spectral Type                                
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Mar 15'        / UT date of SXD observations                    
# LXDUT   = '2007 Mar 15'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807660 / Minimum wavelength (um)                        
# MAXWAVE =              5.07421 / Maximum wavelength (um)                        
# V       =        8.25000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.60000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        2.80500000000 / 2MASS J magnitude                              
# JERR    =       0.258000000000 / 2MASS J magnitude error                        
# H       =        1.70500000000 / 2MASS H magnitude                              
# HERR    =       0.242000000000 / 2MASS H magnitude error                        
# KS      =        1.25700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.298000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.151866000000 / Relative error in the absolute flux calibration
# RV      =        72.4860940000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807660                1.62782e-10         7.33006e-13
             0.807863                1.68387e-10         7.36665e-13
             0.808065                1.71492e-10         7.57298e-13
             0.808268                1.65874e-10         7.47329e-13
             0.808471                1.65149e-10         7.38399e-13
             0.808673                1.69487e-10         7.47689e-13
             0.808876                1.71269e-10         7.42524e-13
             0.809078                1.64176e-10         7.36588e-13
             0.809281                1.49645e-10         7.32622e-13
             0.809483                1.46351e-10         7.28616e-13
             0.809686                1.53654e-10         7.40375e-13
             0.809888                1.61192e-10         7.53556e-13
             0.810091                1.61959e-10         7.46694e-13
             0.810293                1.61282e-10         7.49194e-13
             0.810496                1.58597e-10         7.40578e-13
             0.810699                1.60859e-10         7.51372e-13
             0.810901                1.61770e-10         7.57286e-13
             0.811104                1.64569e-10         7.61805e-13
             0.811306                1.68056e-10         7.70888e-13
             0.811317                1.67541e-10         6.70758e-13
             0.811550                1.60438e-10         6.83877e-13
             0.811783                1.51002e-10         7.11488e-13
             0.812016                1.56512e-10         7.62340e-13
             0.812249                1.63234e-10         7.17994e-13
             0.812481                1.70050e-10         6.86508e-13
             0.812714                1.71105e-10         6.66802e-13
             0.812947                1.73689e-10         6.76884e-13
             0.813180                1.70080e-10         7.06663e-13
             0.813412                1.63938e-10         7.45095e-13
             0.813645                1.70290e-10         7.55736e-13
             0.813878                1.76900e-10         7.22362e-13
             0.814111                1.76347e-10         6.92206e-13
             0.814344                1.70536e-10         6.75362e-13
             0.814576                1.67501e-10         6.81737e-13
             0.814809                1.73162e-10         7.24368e-13
             0.815042                1.75369e-10         7.62825e-13
             0.815274                1.75605e-10         7.54483e-13
             0.815507                1.76871e-10         7.20812e-13
             0.815740                1.82597e-10         6.92750e-13
             0.815973                1.84419e-10         6.98536e-13
             0.816205                1.65342e-10         7.25397e-13
             0.816438                1.62227e-10         7.65422e-13
             0.816671                1.74390e-10         7.89428e-13
             0.816903                1.81130e-10         7.54653e-13
             0.817136                1.82103e-10         7.18730e-13
             0.817369                1.77434e-10         6.78547e-13
             0.817602                1.76388e-10         6.97216e-13
             0.817834                1.84335e-10         7.79772e-13
             0.818067                1.84193e-10         7.73120e-13
             0.818300                1.70502e-10         7.50581e-13
             0.818532                1.60843e-10         7.08664e-13
             0.818765                1.59495e-10         6.99441e-13
             0.818998                1.72251e-10         6.91876e-13
             0.819230                1.91108e-10         7.11335e-13
             0.819463                1.77267e-10         7.14701e-13
             0.819695                1.59994e-10         7.35983e-13
             0.819928                1.71202e-10         7.45447e-13
             0.820161                1.72053e-10         6.95736e-13
             0.820393                1.59701e-10         6.54286e-13
             0.820626                1.58495e-10         6.42332e-13
             0.820859                1.70778e-10         6.61955e-13
             0.821091                1.83749e-10         6.97657e-13
             0.821324                1.81775e-10         7.34918e-13
             0.821556                1.76575e-10         6.98868e-13
             0.821789                1.82992e-10         6.77759e-13
             0.822022                1.88067e-10         6.71790e-13
             0.822254                1.85046e-10         6.71274e-13
             0.822487                1.85678e-10         7.00263e-13
             0.822719                1.96538e-10         7.83170e-13
             0.822952                2.02344e-10         8.27303e-13
             0.823184                2.00090e-10         7.48636e-13
             0.823417                1.95430e-10         6.92455e-13
             0.823650                1.92025e-10         6.62025e-13
             0.823882                1.92919e-10         6.74827e-13
             0.824115                1.92417e-10         6.89221e-13
             0.824347                1.90241e-10         7.35864e-13
             0.824580                1.92292e-10         7.00457e-13
             0.824812                1.91666e-10         6.66138e-13
             0.825045                1.89620e-10         6.44408e-13
             0.825277                1.79478e-10         6.37329e-13
             0.825510                1.65167e-10         6.43724e-13
             0.825742                1.68401e-10         6.69932e-13
             0.825975                1.87658e-10         7.02978e-13
             0.826207                2.02441e-10         6.91302e-13
             0.826440                2.01602e-10         6.79270e-13
             0.826672                1.97453e-10         6.76195e-13
             0.826905                1.98395e-10         6.39915e-13
             0.827137                2.02766e-10         6.65047e-13
             0.827370                1.96946e-10         6.93044e-13
             0.827602                1.86946e-10         7.02776e-13
             0.827835                1.88911e-10         6.73600e-13
             0.828067                1.98384e-10         6.65626e-13
             0.828300                1.96461e-10         6.50615e-13
             0.828532                1.84095e-10         6.38767e-13
             0.828765                1.85695e-10         6.62435e-13
             0.828997                1.89781e-10         6.84308e-13
             0.829229                1.93649e-10         6.82521e-13
             0.829462                1.96452e-10         6.65199e-13
             0.829694                1.86184e-10         6.47688e-13
             0.829927                1.75255e-10         6.25739e-13
             0.830159                1.79554e-10         6.30308e-13
             0.830392                1.84954e-10         6.58820e-13
             0.830624                1.72566e-10         6.62460e-13
             0.830857                1.63871e-10         6.36063e-13
             0.831089                1.63704e-10         6.13958e-13
             0.831321                1.71438e-10         6.15087e-13
             0.831554                1.79306e-10         6.14457e-13
             0.831786                1.89414e-10         6.37644e-13
             0.832018                1.89936e-10         6.60362e-13
             0.832251                1.79771e-10         6.57394e-13
             0.832483                1.73012e-10         6.23283e-13
             0.832716                1.64587e-10         5.98532e-13
             0.832948                1.73008e-10         6.03305e-13
             0.833180                1.84683e-10         6.14087e-13
             0.833413                1.77078e-10         6.15630e-13
             0.833645                1.76003e-10         6.27459e-13
             0.833877                1.79798e-10         6.31618e-13
             0.834110                1.91571e-10         6.28286e-13
             0.834342                1.96939e-10         6.09521e-13
             0.834575                1.84268e-10         5.97115e-13
             0.834807                1.71175e-10         5.87464e-13
             0.835039                1.70014e-10         5.95816e-13
             0.835271                1.80910e-10         6.22285e-13
             0.835504                1.83644e-10         6.10403e-13
             0.835736                1.85805e-10         6.02649e-13
             0.835968                1.89939e-10         5.95587e-13
             0.836201                1.88157e-10         5.88664e-13
             0.836433                1.73923e-10         5.82536e-13
             0.836665                1.72601e-10         5.88450e-13
             0.836898                1.89517e-10         6.10247e-13
             0.837130                1.88802e-10         5.98352e-13
             0.837362                1.86233e-10         5.87048e-13
             0.837594                1.94331e-10         5.97852e-13
             0.837827                1.84523e-10         5.83730e-13
             0.838059                1.89745e-10         5.88842e-13
             0.838291                1.83346e-10         5.90929e-13
             0.838524                1.71344e-10         5.96175e-13
             0.838756                1.68644e-10         5.68601e-13
             0.838988                1.63003e-10         5.57435e-13
             0.839220                1.78515e-10         5.65171e-13
             0.839453                2.00562e-10         5.84607e-13
             0.839685                1.97509e-10         5.87688e-13
             0.839917                1.90931e-10         5.87497e-13
             0.840149                1.96818e-10         5.83829e-13
             0.840381                1.99130e-10         5.75241e-13
             0.840614                1.99142e-10         5.73158e-13
             0.840846                2.04502e-10         5.90085e-13
             0.841078                2.01456e-10         5.78533e-13
             0.841310                1.85348e-10         5.71757e-13
             0.841542                1.89361e-10         5.86687e-13
             0.841775                1.98516e-10         5.75475e-13
             0.842007                1.94810e-10         5.61651e-13
             0.842239                1.95382e-10         5.51726e-13
             0.842471                1.91887e-10         5.53753e-13
             0.842703                1.74942e-10         5.42720e-13
             0.842936                1.85018e-10         5.55807e-13
             0.843168                2.12189e-10         5.84764e-13
             0.843400                2.05522e-10         5.76277e-13
             0.843632                1.73473e-10         5.37673e-13
             0.843864                1.73910e-10         5.40042e-13
             0.844096                1.88762e-10         5.49604e-13
             0.844329                1.93810e-10         5.64221e-13
             0.844561                1.99569e-10         5.76056e-13
             0.844793                1.97225e-10         5.69790e-13
             0.845025                1.92888e-10         5.46188e-13
             0.845257                1.92940e-10         5.42188e-13
             0.845489                1.92745e-10         5.39371e-13
             0.845721                1.80806e-10         5.31819e-13
             0.845954                1.76562e-10         5.31408e-13
             0.846186                1.93350e-10         5.51111e-13
             0.846418                1.99749e-10         5.49523e-13
             0.846650                1.81114e-10         5.30422e-13
             0.846882                1.68318e-10         5.15223e-13
             0.847114                1.78338e-10         5.22844e-13
             0.847346                1.92970e-10         5.33496e-13
             0.847578                2.01179e-10         5.45915e-13
             0.847810                1.96733e-10         5.37647e-13
             0.848042                1.90621e-10         5.25753e-13
             0.848274                1.86001e-10         5.15621e-13
             0.848507                1.85796e-10         5.13272e-13
             0.848739                1.89015e-10         5.16275e-13
             0.848971                1.89777e-10         5.21920e-13
             0.849203                1.91925e-10         5.22814e-13
             0.849435                1.84561e-10         5.15847e-13
             0.849667                1.61658e-10         4.90479e-13
             0.849899                1.35607e-10         4.70596e-13
             0.850131                1.47513e-10         4.75260e-13
             0.850363                1.74252e-10         4.98344e-13
             0.850595                1.82633e-10         5.04871e-13
             0.850827                1.92837e-10         5.18273e-13
             0.851059                1.97720e-10         5.11775e-13
             0.851291                1.85522e-10         4.99372e-13
             0.851523                1.68591e-10         4.80490e-13
             0.851755                1.66748e-10         4.80545e-13
             0.851987                1.72653e-10         4.84994e-13
             0.852219                1.76128e-10         4.90563e-13
             0.852451                1.79884e-10         4.90982e-13
             0.852683                1.79159e-10         4.88748e-13
             0.852915                1.81655e-10         4.82652e-13
             0.853147                1.79632e-10         4.86569e-13
             0.853379                1.80854e-10         4.83105e-13
             0.853611                1.80725e-10         4.88895e-13
             0.853843                1.67060e-10         4.77746e-13
             0.854075                1.35853e-10         4.51657e-13
             0.854307                1.05761e-10         4.27839e-13
             0.854539                1.11936e-10         4.31957e-13
             0.854771                1.40157e-10         4.45260e-13
             0.855003                1.60325e-10         4.64187e-13
             0.855235                1.78036e-10         4.76879e-13
             0.855467                1.91350e-10         4.93393e-13
             0.855699                1.94253e-10         4.90039e-13
             0.855930                1.96662e-10         4.90402e-13
             0.856162                1.95930e-10         4.85169e-13
             0.856394                1.90935e-10         4.83836e-13
             0.856626                1.88136e-10         4.80312e-13
             0.856858                1.82021e-10         4.81937e-13
             0.857090                1.84080e-10         4.78021e-13
             0.857322                1.94663e-10         4.85465e-13
             0.857554                1.99243e-10         4.85392e-13
             0.857786                1.98511e-10         4.85167e-13
             0.858018                2.01955e-10         4.86426e-13
             0.858250                1.98907e-10         4.97782e-13
             0.858481                1.94081e-10         4.81372e-13
             0.858713                1.96813e-10         4.82364e-13
             0.858945                1.99679e-10         4.78221e-13
             0.859177                1.99358e-10         4.79608e-13
             0.859409                2.04082e-10         4.79434e-13
             0.859641                2.05973e-10         4.83682e-13
             0.859873                2.01682e-10         4.78973e-13
             0.860105                2.04787e-10         4.85874e-13
             0.860336                2.05156e-10         4.80076e-13
             0.860568                2.01461e-10         4.75204e-13
             0.860800                2.00466e-10         4.70556e-13
             0.861032                1.95265e-10         4.68392e-13
             0.861264                1.80232e-10         4.53262e-13
             0.861495                1.74588e-10         4.49978e-13
             0.861727                1.81212e-10         4.51971e-13
             0.861959                1.85758e-10         4.78545e-13
             0.862191                1.82916e-10         4.42867e-13
             0.862423                1.79753e-10         4.40312e-13
             0.862655                1.87603e-10         4.42964e-13
             0.862886                1.92341e-10         4.47278e-13
             0.863118                1.88244e-10         4.44959e-13
             0.863350                1.86639e-10         4.43644e-13
             0.863582                1.88127e-10         4.43204e-13
             0.863814                1.90691e-10         4.47424e-13
             0.864045                1.92923e-10         4.44642e-13
             0.864277                1.89200e-10         4.43549e-13
             0.864509                1.88963e-10         4.42161e-13
             0.864741                1.90947e-10         4.45416e-13
             0.864972                1.87849e-10         4.39094e-13
             0.865204                1.84464e-10         4.35575e-13
             0.865436                1.85340e-10         4.35302e-13
             0.865668                1.85857e-10         4.40418e-13
             0.865900                1.77678e-10         4.28730e-13
             0.866131                1.46517e-10         4.07764e-13
             0.866363                1.17609e-10         3.83589e-13
             0.866595                1.33330e-10         3.96030e-13
             0.866826                1.66044e-10         4.14038e-13
             0.867058                1.80867e-10         4.26838e-13
             0.867290                1.84640e-10         4.29592e-13
             0.867522                1.72895e-10         4.24577e-13
             0.867753                1.75540e-10         4.21258e-13
             0.867985                1.90857e-10         4.35996e-13
             0.868217                1.88726e-10         4.26932e-13
             0.868448                1.79871e-10         4.21800e-13
             0.868680                1.86070e-10         4.26092e-13
             0.868912                1.81515e-10         4.23757e-13
             0.869144                1.69788e-10         4.20061e-13
             0.869375                1.71640e-10         4.15449e-13
             0.869607                1.78481e-10         4.16951e-13
