# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:39 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6720 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 44544'           /                                                
# SPTYPE  = 'SC5.5 Zr 0.5'       / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2008 Apr 02'        / UT date of SXD observations                    
# LXDUT   = '2008 Apr 02'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803333 / Minimum wavelength (um)                        
# MAXWAVE =              4.11767 / Maximum wavelength (um)                        
# V       =        8.94500000000 / V magnitude                                    
# VERR    =      0.0720000000000 / V magnitude error                              
# (B-V)   =        3.08500000000 / B-V color                                      
# (B-V)ERR=       0.135000000000 / B-V color error                                
# J       =        3.39500000000 / 2MASS J magnitude                              
# JERR    =       0.236000000000 / 2MASS J magnitude error                        
# H       =        2.10100000000 / 2MASS H magnitude                              
# HERR    =       0.204000000000 / 2MASS H magnitude error                        
# KS      =        1.67500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.226000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.127451000000 / Relative error in the absolute flux calibration
# RV      =        15.1871420000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803333                8.05120e-11         2.91579e-13
             0.803535                8.50431e-11         2.97484e-13
             0.803737                9.12409e-11         3.03629e-13
             0.803940                9.24470e-11         3.05760e-13
             0.804142                8.53293e-11         3.00476e-13
             0.804345                7.68630e-11         2.90575e-13
             0.804547                7.02215e-11         2.85378e-13
             0.804750                6.91934e-11         2.86501e-13
             0.804952                7.13535e-11         2.85825e-13
             0.805155                6.80923e-11         2.86555e-13
             0.805357                6.69130e-11         2.84915e-13
             0.805560                6.89431e-11         2.86014e-13
             0.805762                7.08856e-11         2.88984e-13
             0.805964                7.17090e-11         2.92462e-13
             0.806167                6.90415e-11         2.90276e-13
             0.806369                6.86951e-11         2.91519e-13
             0.806572                7.39555e-11         2.95772e-13
             0.806774                7.39750e-11         2.96648e-13
             0.806977                6.42772e-11         2.88755e-13
             0.807180                5.78572e-11         2.56236e-13
             0.807413                6.09787e-11         2.64007e-13
             0.807647                6.70909e-11         2.80158e-13
             0.807880                7.25587e-11         3.05954e-13
             0.808114                7.25231e-11         2.94152e-13
             0.808347                6.72516e-11         2.73933e-13
             0.808580                6.91879e-11         2.65889e-13
             0.808814                7.46869e-11         2.68781e-13
             0.809047                6.78510e-11         2.76533e-13
             0.809281                5.57080e-11         2.82187e-13
             0.809514                5.39730e-11         2.92885e-13
             0.809747                6.02064e-11         2.74235e-13
             0.809981                6.27818e-11         2.63754e-13
             0.810214                6.19007e-11         2.62862e-13
             0.810447                5.93902e-11         2.60121e-13
             0.810681                5.84338e-11         2.74798e-13
             0.810914                6.11392e-11         2.95062e-13
             0.811147                6.51839e-11         2.88321e-13
             0.811381                6.81992e-11         2.74781e-13
             0.811614                6.30218e-11         2.62031e-13
             0.811847                6.11610e-11         2.59995e-13
             0.812081                6.41540e-11         2.69704e-13
             0.812314                6.63030e-11         2.85586e-13
             0.812547                6.87057e-11         2.99241e-13
             0.812780                6.79316e-11         2.80124e-13
             0.813014                6.98826e-11         2.69003e-13
             0.813247                6.63009e-11         2.61742e-13
             0.813480                6.37453e-11         2.83922e-13
             0.813713                6.82076e-11         2.76601e-13
             0.813947                7.03674e-11         2.94768e-13
             0.814180                6.86171e-11         2.88733e-13
             0.814413                6.54303e-11         2.70990e-13
             0.814646                6.86180e-11         2.63915e-13
             0.814880                6.97981e-11         2.63311e-13
             0.815113                6.82514e-11         2.71691e-13
             0.815346                6.84518e-11         2.83551e-13
             0.815579                7.03448e-11         2.99204e-13
             0.815812                7.66565e-11         2.88583e-13
             0.816046                7.65659e-11         2.74171e-13
             0.816279                6.60054e-11         2.64234e-13
             0.816512                6.45459e-11         2.67773e-13
             0.816745                6.88142e-11         2.79803e-13
             0.816978                7.19124e-11         2.91909e-13
             0.817211                7.36407e-11         2.92748e-13
             0.817444                7.17472e-11         2.74978e-13
             0.817678                7.15136e-11         2.67396e-13
             0.817911                7.55442e-11         2.82784e-13
             0.818144                7.39238e-11         2.77334e-13
             0.818377                7.04686e-11         2.83329e-13
             0.818610                6.83033e-11         2.93130e-13
             0.818843                6.46692e-11         2.79390e-13
             0.819076                7.44245e-11         2.76451e-13
             0.819309                8.52978e-11         2.77184e-13
             0.819542                7.69382e-11         2.71393e-13
             0.819775                7.45644e-11         2.75035e-13
             0.820008                7.72081e-11         2.92000e-13
             0.820241                6.94862e-11         2.86512e-13
             0.820474                6.35120e-11         2.65307e-13
             0.820707                6.76052e-11         2.59560e-13
             0.820940                7.35755e-11         2.65492e-13
             0.821173                7.94877e-11         2.68618e-13
             0.821407                7.75327e-11         2.76357e-13
             0.821640                7.62828e-11         2.90066e-13
             0.821872                8.26818e-11         2.84249e-13
             0.822105                8.32291e-11         2.72468e-13
             0.822338                7.79239e-11         2.62276e-13
             0.822571                8.23511e-11         2.67863e-13
             0.822804                8.67398e-11         2.81367e-13
             0.823037                8.72658e-11         2.96119e-13
             0.823270                8.80390e-11         3.00788e-13
             0.823503                8.62477e-11         2.82365e-13
             0.823736                8.34705e-11         2.67088e-13
             0.823969                8.45128e-11         2.62683e-13
             0.824202                8.16116e-11         2.64677e-13
             0.824435                7.89675e-11         2.68734e-13
             0.824668                8.23618e-11         2.89595e-13
             0.824901                8.18372e-11         2.74516e-13
             0.825134                7.76509e-11         2.72266e-13
             0.825367                6.96297e-11         2.49701e-13
             0.825599                6.67928e-11         2.47921e-13
             0.825832                7.31907e-11         2.56398e-13
             0.826065                8.49769e-11         2.75345e-13
             0.826298                9.08448e-11         2.87883e-13
             0.826531                8.72771e-11         2.79559e-13
             0.826764                8.42728e-11         2.62648e-13
             0.826997                8.81540e-11         2.60745e-13
             0.827229                8.82848e-11         2.62579e-13
             0.827462                7.81381e-11         2.61053e-13
             0.827695                7.46985e-11         2.66133e-13
             0.827928                8.13215e-11         2.73425e-13
             0.828161                8.63062e-11         2.68736e-13
             0.828394                8.09589e-11         2.64623e-13
             0.828626                7.74184e-11         2.50942e-13
             0.828859                7.96545e-11         2.56226e-13
             0.829092                8.08021e-11         2.64650e-13
             0.829325                8.75752e-11         2.80374e-13
             0.829557                8.49182e-11         2.65912e-13
             0.829790                7.09184e-11         2.48095e-13
             0.830023                6.61151e-11         2.42856e-13
             0.830256                7.43392e-11         2.48193e-13
             0.830488                7.46496e-11         2.52160e-13
             0.830721                6.76471e-11         2.54388e-13
             0.830954                6.73462e-11         2.54861e-13
             0.831187                6.83766e-11         2.47884e-13
             0.831419                7.00268e-11         2.42265e-13
             0.831652                7.57333e-11         2.46003e-13
             0.831885                8.11667e-11         2.51405e-13
             0.832117                7.65604e-11         2.54251e-13
             0.832350                6.99979e-11         2.54367e-13
             0.832583                6.86739e-11         2.49197e-13
             0.832815                6.94890e-11         2.41347e-13
             0.833048                7.74126e-11         2.44843e-13
             0.833281                7.64029e-11         2.41808e-13
             0.833513                7.27561e-11         2.41482e-13
             0.833746                7.56819e-11         2.48506e-13
             0.833979                7.84375e-11         2.55324e-13
             0.834211                8.70752e-11         2.57126e-13
             0.834444                8.57156e-11         2.51289e-13
             0.834677                7.60226e-11         2.38118e-13
             0.834909                7.37133e-11         2.39118e-13
             0.835142                7.75996e-11         2.46735e-13
             0.835374                8.10295e-11         2.51611e-13
             0.835607                7.81821e-11         2.47591e-13
             0.835840                7.80838e-11         2.42430e-13
             0.836072                8.10144e-11         2.40960e-13
             0.836305                8.03062e-11         2.42451e-13
             0.836537                7.56412e-11         2.35678e-13
             0.836770                8.06936e-11         2.43783e-13
             0.837003                8.58610e-11         2.53155e-13
             0.837235                8.02327e-11         2.42385e-13
             0.837468                8.38924e-11         2.41978e-13
             0.837700                8.61899e-11         2.42312e-13
             0.837933                8.41340e-11         2.43175e-13
             0.838165                8.99044e-11         2.50704e-13
             0.838398                8.16073e-11         2.47883e-13
             0.838630                7.47343e-11         2.39826e-13
             0.838863                7.46050e-11         2.32912e-13
             0.839095                7.28420e-11         2.27920e-13
             0.839328                8.45870e-11         2.39491e-13
             0.839560                9.43218e-11         2.47365e-13
             0.839793                8.99284e-11         2.45979e-13
             0.840025                8.89695e-11         2.48700e-13
             0.840258                9.23104e-11         2.47822e-13
             0.840490                9.12960e-11         2.43545e-13
             0.840723                9.23142e-11         2.50843e-13
             0.840955                9.29310e-11         2.41371e-13
             0.841187                8.84624e-11         2.37511e-13
             0.841420                8.42182e-11         2.38550e-13
             0.841652                9.13927e-11         2.49351e-13
             0.841885                9.39161e-11         2.47077e-13
             0.842117                8.94201e-11         2.36865e-13
             0.842350                9.09220e-11         2.36557e-13
             0.842582                8.78270e-11         2.33621e-13
             0.842814                8.16099e-11         2.28575e-13
             0.843047                9.35718e-11         2.43769e-13
             0.843279                1.04289e-10         2.56694e-13
             0.843512                9.25845e-11         2.39678e-13
             0.843744                8.23073e-11         2.28154e-13
             0.843976                8.52367e-11         2.30129e-13
             0.844209                8.68649e-11         2.31784e-13
             0.844441                9.20106e-11         2.37099e-13
             0.844673                9.47283e-11         2.45831e-13
             0.844906                9.56087e-11         2.46328e-13
             0.845138                9.78044e-11         2.57503e-13
             0.845370                1.02672e-10         2.46490e-13
             0.845603                9.71153e-11         2.39005e-13
             0.845835                8.31835e-11         2.25256e-13
             0.846067                8.52900e-11         2.30041e-13
             0.846300                9.85213e-11         2.45645e-13
             0.846532                9.31718e-11         2.41866e-13
             0.846764                7.95815e-11         2.20195e-13
             0.846996                8.13182e-11         2.20073e-13
             0.847229                9.05719e-11         2.29307e-13
             0.847461                1.01622e-10         2.44052e-13
             0.847693                1.03279e-10         2.46060e-13
             0.847926                9.61958e-11         2.37311e-13
             0.848158                9.21144e-11         2.29443e-13
             0.848390                8.99027e-11         2.26156e-13
             0.848622                9.01513e-11         2.24765e-13
             0.848855                8.84618e-11         2.23504e-13
             0.849087                9.21799e-11         2.28344e-13
             0.849319                9.51979e-11         2.35372e-13
             0.849551                8.79542e-11         2.23794e-13
             0.849783                7.34808e-11         2.08666e-13
             0.850016                6.57126e-11         2.01230e-13
             0.850248                7.71592e-11         2.10663e-13
             0.850480                8.45724e-11         2.18406e-13
             0.850712                8.92654e-11         2.26598e-13
             0.850944                9.90990e-11         2.37027e-13
             0.851177                9.53116e-11         2.30200e-13
             0.851409                8.27177e-11         2.14089e-13
             0.851641                8.04664e-11         2.11415e-13
             0.851873                8.50768e-11         2.15097e-13
             0.852105                8.69423e-11         2.18607e-13
             0.852337                8.48024e-11         2.16457e-13
             0.852570                8.35221e-11         2.15400e-13
             0.852802                8.47628e-11         2.13080e-13
             0.853034                8.63997e-11         2.15330e-13
             0.853266                8.68654e-11         2.13176e-13
             0.853498                8.90956e-11         2.17808e-13
             0.853730                8.65851e-11         2.15721e-13
             0.853962                7.23312e-11         2.04277e-13
             0.854194                5.58032e-11         1.86929e-13
             0.854427                5.00866e-11         1.81908e-13
             0.854659                5.94450e-11         1.87208e-13
             0.854891                7.12949e-11         1.98290e-13
             0.855123                7.90994e-11         2.04225e-13
             0.855355                9.09772e-11         2.17977e-13
             0.855587                9.47499e-11         2.21660e-13
             0.855819                9.54786e-11         2.21064e-13
             0.856051                9.93188e-11         2.22434e-13
             0.856283                9.74580e-11         2.19992e-13
             0.856515                9.19392e-11         2.14120e-13
             0.856747                8.64327e-11         2.09682e-13
             0.856979                8.35330e-11         2.05751e-13
             0.857211                8.83826e-11         2.12718e-13
             0.857443                9.60377e-11         2.17610e-13
             0.857675                9.78494e-11         2.18733e-13
             0.857907                9.80901e-11         2.17864e-13
             0.858139                1.00428e-10         2.21326e-13
             0.858371                9.71173e-11         2.19429e-13
             0.858603                9.58287e-11         2.20662e-13
             0.858835                9.80131e-11         2.20465e-13
             0.859067                9.53592e-11         2.18527e-13
             0.859299                9.73490e-11         2.17468e-13
             0.859531                1.04158e-10         2.25712e-13
             0.859763                1.03967e-10         2.24553e-13
