# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:29 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 3587 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'SDSS J125453.90-012247.4' /                                          
# SPTYPE  = 'T2      '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.931734 / Minimum wavelength (um)                        
# MAXWAVE =              2.41121 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        14.8910000000 / 2MASS J magnitude                              
# JERR    =      0.0350000000000 / 2MASS J magnitude error                        
# H       =        14.0900000000 / 2MASS H magnitude                              
# HERR    =      0.0250000000000 / 2MASS H magnitude error                        
# KS      =        13.8370000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0540000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0190372000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.931734               -9.99000e+02        -9.99000e+02
             0.932006               -9.99000e+02        -9.99000e+02
             0.932278               -9.99000e+02        -9.99000e+02
             0.932550               -9.99000e+02        -9.99000e+02
             0.932822               -7.71993e-16         5.62600e-16
             0.933094                3.77082e-17         5.06148e-16
             0.933366                6.69871e-16         4.53451e-16
             0.933638                9.11121e-16         4.84510e-16
             0.933909                1.04686e-15         5.07703e-16
             0.934181                1.77912e-15         4.35216e-16
             0.934453                1.93575e-15         3.93846e-16
             0.934725                1.57801e-15         4.17562e-16
             0.934997                7.33272e-16         4.23209e-16
             0.935269                4.67261e-16         4.21691e-16
             0.935541                1.68505e-16         4.45613e-16
             0.935813               -7.37769e-16         5.02035e-16
             0.936085               -9.87155e-16         5.02559e-16
             0.936357               -4.47154e-16         3.99163e-16
             0.936628                3.23322e-16         3.19669e-16
             0.936900                6.43706e-16         3.58555e-16
             0.937172                5.29130e-16         3.94134e-16
             0.937444                5.09877e-16         3.94545e-16
             0.937716                5.70084e-16         4.05920e-16
             0.937988                4.53991e-16         3.89864e-16
             0.938259                4.23529e-16         3.43422e-16
             0.938531                7.18828e-16         3.73901e-16
             0.938803                1.25685e-15         4.06309e-16
             0.939075                1.04839e-15         3.65855e-16
             0.939347                9.50582e-16         3.18271e-16
             0.939618                5.71310e-16         2.95248e-16
             0.939890                6.93718e-16         3.13250e-16
             0.940162                8.59488e-16         3.36374e-16
             0.940434                4.97097e-16         3.54632e-16
             0.940705               -1.15973e-16         3.89659e-16
             0.940977                1.19749e-16         3.85191e-16
             0.941249                7.85291e-16         3.49387e-16
             0.941521                1.14826e-15         3.16367e-16
             0.941792                8.20051e-16         2.97914e-16
             0.942064                4.86672e-16         2.88821e-16
             0.942336                1.45217e-16         2.74731e-16
             0.942607                3.02061e-16         2.73749e-16
             0.942879                3.40865e-16         3.21820e-16
             0.943151                4.19528e-16         3.71266e-16
             0.943422                7.90801e-16         3.47536e-16
             0.943694                9.02854e-16         3.35752e-16
             0.943966                1.21244e-15         3.45394e-16
             0.944237                1.04524e-15         3.72703e-16
             0.944509                6.74777e-16         4.10804e-16
             0.944781                2.34809e-16         4.01629e-16
             0.945052                3.21662e-16         3.47294e-16
             0.945324                6.99025e-16         3.20084e-16
             0.945595                8.73311e-16         3.02709e-16
             0.945867                1.39663e-15         2.97072e-16
             0.946139                1.35388e-15         3.13200e-16
             0.946410                1.11945e-15         3.50763e-16
             0.946682                1.07872e-15         3.81127e-16
             0.946953                1.09419e-15         3.41467e-16
             0.947225                8.21601e-16         2.61617e-16
             0.947496                3.51237e-16         2.44677e-16
             0.947768                1.33496e-16         2.85390e-16
             0.948039               -1.43440e-16         3.03263e-16
             0.948311               -2.27798e-17         2.82850e-16
             0.948582                8.01279e-16         2.34510e-16
             0.948854                1.30524e-15         2.12828e-16
             0.949125                1.03935e-15         2.38573e-16
             0.949397                8.58876e-16         2.74977e-16
             0.949668                1.34458e-15         2.86089e-16
             0.949940                1.45412e-15         2.86174e-16
             0.950211                7.90296e-16         3.33621e-16
             0.950483                6.60852e-16         3.72211e-16
             0.950754                1.19947e-15         3.56982e-16
             0.951026                1.67916e-15         3.26605e-16
             0.951297                1.49177e-15         2.92559e-16
             0.951568                1.61974e-15         2.74672e-16
             0.951840                1.63160e-15         2.84705e-16
             0.952111                1.47049e-15         2.66327e-16
             0.952383                1.04453e-15         2.48553e-16
             0.952654                1.45560e-15         2.90275e-16
             0.952925                1.55900e-15         3.02122e-16
