# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:31 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 3588 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J05591915-1404489' /                                           
# SPTYPE  = 'T4.5    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# MINWAVE =             0.931661 / Minimum wavelength (um)                        
# MAXWAVE =              2.41105 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        13.8020000000 / 2MASS J magnitude                              
# JERR    =      0.0240000000000 / 2MASS J magnitude error                        
# H       =        13.6790000000 / 2MASS H magnitude                              
# HERR    =      0.0440000000000 / 2MASS H magnitude error                        
# KS      =        13.5770000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0520000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0195274000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.931661                2.55470e-15         9.02590e-16
             0.931933                2.71367e-15         8.64219e-16
             0.932205                2.05699e-15         8.95142e-16
             0.932477                7.66320e-16         8.60308e-16
             0.932749                1.19910e-15         6.96629e-16
             0.933021                1.98918e-15         6.15048e-16
             0.933293                1.48893e-15         6.45227e-16
             0.933564                5.48395e-16         7.52173e-16
             0.933836                6.63731e-16         8.81170e-16
             0.934108                1.80487e-15         8.24097e-16
             0.934380                2.64292e-15         6.76379e-16
             0.934652                3.14470e-15         6.65748e-16
             0.934924                2.51518e-15         8.26629e-16
             0.935195                1.74678e-15         8.51885e-16
             0.935467                8.32684e-16         6.74171e-16
             0.935739                3.10383e-17         5.66751e-16
             0.936011               -2.17811e-16         5.87477e-16
             0.936283               -1.57496e-17         7.26705e-16
             0.936554                4.64350e-16         8.12526e-16
             0.936826                5.01522e-17         7.56584e-16
             0.937098               -4.67611e-16         8.13264e-16
             0.937370                2.69596e-16         8.61392e-16
             0.937641                8.57914e-16         7.23294e-16
             0.937913                6.00550e-16         5.78674e-16
             0.938185               -4.20371e-16         7.18331e-16
             0.938457                2.55155e-16         8.77502e-16
             0.938728                5.27396e-16         8.01468e-16
             0.939000                7.69651e-16         6.36826e-16
             0.939272                7.10459e-16         5.11704e-16
             0.939543                1.09140e-15         4.58546e-16
             0.939815                1.54861e-15         4.67740e-16
             0.940087                1.94185e-15         4.27870e-16
             0.940358                1.70240e-15         3.93346e-16
             0.940630                1.22293e-15         4.32870e-16
             0.940902                6.07867e-16         4.73636e-16
             0.941173                6.06380e-16         5.34391e-16
             0.941445                1.63379e-15         6.12738e-16
             0.941716                2.46637e-15         5.99429e-16
             0.941988                2.54885e-15         5.12807e-16
             0.942260                2.84332e-15         4.82784e-16
             0.942531                3.83094e-15         5.03260e-16
             0.942803                4.03822e-15         5.02186e-16
             0.943074                3.30152e-15         4.64702e-16
             0.943346                2.57315e-15         4.28439e-16
             0.943618                2.37805e-15         4.63738e-16
             0.943889                2.40829e-15         5.06659e-16
             0.944161                2.27161e-15         5.13897e-16
             0.944432                2.15618e-15         4.98722e-16
             0.944704                2.13581e-15         4.89544e-16
             0.944975                2.04860e-15         5.18088e-16
             0.945247                1.51391e-15         5.32000e-16
             0.945518                1.15242e-15         5.09979e-16
             0.945790                1.17531e-15         5.23368e-16
             0.946061                1.10148e-15         5.40407e-16
             0.946333                1.64630e-15         4.80851e-16
