# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:18 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6917 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 7927 '           /                                                
# SPTYPE  = 'F0 Ia   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804690 / Minimum wavelength (um)                        
# MAXWAVE =              4.15404 / Maximum wavelength (um)                        
# V       =        4.98700000000 / V magnitude                                    
# VERR    =      0.0160000000000 / V magnitude error                              
# (B-V)   =       0.680000000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        3.75100000000 / 2MASS J magnitude                              
# JERR    =       0.296000000000 / 2MASS J magnitude error                        
# H       =        3.53700000000 / 2MASS H magnitude                              
# HERR    =       0.248000000000 / 2MASS H magnitude error                        
# KS      =        3.18600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.268000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.155052000000 / Relative error in the absolute flux calibration
# RV      =       -49.2699310000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.150000000000 / Intrinsic Color                                
# E(B-V)  =       0.530000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804690                2.06687e-10         3.41694e-13
             0.804892                2.06115e-10         3.39578e-13
             0.805095                2.07522e-10         3.43809e-13
             0.805297                2.06716e-10         3.40469e-13
             0.805499                2.07498e-10         3.42919e-13
             0.805702                2.07116e-10         3.42046e-13
             0.805904                2.06840e-10         3.44065e-13
             0.806106                2.05240e-10         3.39170e-13
             0.806309                2.05698e-10         3.43114e-13
             0.806511                2.05764e-10         3.41962e-13
             0.806713                2.06933e-10         3.45310e-13
             0.806915                2.07190e-10         3.45752e-13
             0.807118                2.06380e-10         3.44244e-13
             0.807320                2.05993e-10         3.43725e-13
             0.807522                2.06493e-10         3.46851e-13
             0.807725                2.05902e-10         3.43130e-13
             0.807927                2.05949e-10         3.46398e-13
             0.808129                2.05832e-10         3.46838e-13
             0.808255                2.05692e-10         3.20222e-13
             0.808488                2.04907e-10         3.02337e-13
             0.808722                2.04900e-10         2.95359e-13
             0.808955                2.04776e-10         2.93644e-13
             0.809188                2.05594e-10         3.12003e-13
             0.809422                2.05378e-10         3.19873e-13
             0.809655                2.05446e-10         3.29280e-13
             0.809889                2.04583e-10         3.09101e-13
             0.810122                2.04721e-10         2.96580e-13
             0.810355                2.04987e-10         2.91313e-13
             0.810589                2.05087e-10         2.95697e-13
             0.810822                2.04781e-10         3.12922e-13
             0.811055                2.04781e-10         3.26336e-13
             0.811289                2.04132e-10         3.14860e-13
             0.811522                2.04510e-10         3.00927e-13
             0.811755                2.04404e-10         2.90484e-13
             0.811988                2.04342e-10         2.90922e-13
             0.812222                2.04499e-10         2.99422e-13
             0.812455                2.03990e-10         3.14434e-13
             0.812688                2.04171e-10         3.23938e-13
             0.812921                2.03829e-10         3.04182e-13
             0.813155                2.04505e-10         2.94222e-13
             0.813388                2.03777e-10         2.88005e-13
             0.813621                2.04466e-10         2.93831e-13
             0.813854                2.03984e-10         3.05394e-13
             0.814088                2.03620e-10         3.21062e-13
             0.814321                2.03943e-10         3.11814e-13
             0.814554                2.03963e-10         2.98846e-13
             0.814787                2.03871e-10         2.95931e-13
             0.815020                2.03227e-10         2.89047e-13
             0.815254                2.03214e-10         2.97034e-13
             0.815487                2.03275e-10         3.09965e-13
             0.815720                2.03394e-10         3.27059e-13
             0.815953                2.02270e-10         3.09369e-13
             0.816186                2.02188e-10         2.91045e-13
             0.816419                2.02287e-10         2.88969e-13
             0.816652                2.02534e-10         2.94885e-13
             0.816886                2.02697e-10         3.05481e-13
             0.817119                2.02491e-10         3.17037e-13
             0.817352                2.02712e-10         3.12390e-13
             0.817585                2.02455e-10         2.96027e-13
             0.817818                2.02454e-10         2.88712e-13
             0.818051                2.02099e-10         2.90706e-13
             0.818284                1.99235e-10         2.95018e-13
             0.818517                1.90049e-10         2.92959e-13
             0.818750                1.87469e-10         2.99127e-13
             0.818983                1.90204e-10         2.87858e-13
             0.819216                1.95113e-10         2.84493e-13
             0.819449                1.96582e-10         2.86451e-13
             0.819682                1.90831e-10         2.76240e-13
             0.819915                1.93009e-10         2.86839e-13
             0.820149                1.92208e-10         2.99877e-13
             0.820382                1.86993e-10         2.89497e-13
             0.820615                1.93962e-10         2.83519e-13
             0.820848                2.00221e-10         2.81356e-13
             0.821081                1.97826e-10         2.81260e-13
             0.821314                1.95001e-10         2.78834e-13
             0.821546                1.92717e-10         2.88163e-13
             0.821779                1.87018e-10         2.90767e-13
             0.822012                1.88302e-10         2.80662e-13
             0.822245                1.93493e-10         2.81587e-13
             0.822478                1.91073e-10         2.69547e-13
             0.822711                1.94353e-10         2.75546e-13
             0.822944                1.99153e-10         2.90623e-13
             0.823177                1.99334e-10         3.05744e-13
             0.823410                1.98779e-10         3.09684e-13
             0.823643                1.97449e-10         2.92304e-13
             0.823876                1.98062e-10         2.77936e-13
             0.824109                1.99096e-10         2.76038e-13
             0.824342                1.94283e-10         2.74562e-13
             0.824575                1.93031e-10         2.82929e-13
             0.824807                1.93377e-10         2.93636e-13
             0.825040                1.84500e-10         2.69981e-13
             0.825273                1.85791e-10         2.64269e-13
             0.825506                1.93487e-10         2.66458e-13
             0.825739                1.94638e-10         2.70478e-13
             0.825972                1.97352e-10         2.81393e-13
             0.826205                1.99765e-10         2.94005e-13
             0.826437                1.99889e-10         2.95728e-13
             0.826670                1.99122e-10         2.81369e-13
             0.826903                1.99473e-10         2.74269e-13
             0.827136                1.99662e-10         2.71098e-13
             0.827369                1.98932e-10         2.73198e-13
             0.827601                1.99551e-10         2.84107e-13
             0.827834                1.99626e-10         2.95675e-13
             0.828067                1.99962e-10         2.89248e-13
             0.828300                1.98615e-10         2.77200e-13
             0.828532                1.98765e-10         2.73922e-13
             0.828765                1.96924e-10         2.69847e-13
             0.828998                1.95611e-10         2.74385e-13
             0.829231                1.97370e-10         2.86261e-13
             0.829463                1.97822e-10         2.96616e-13
             0.829696                1.99676e-10         2.90548e-13
             0.829929                1.98146e-10         2.76401e-13
             0.830162                1.96538e-10         2.68369e-13
             0.830394                2.00505e-10         2.75253e-13
             0.830627                1.99159e-10         2.80071e-13
             0.830860                1.95017e-10         2.88147e-13
             0.831092                2.00383e-10         2.87192e-13
             0.831325                2.01895e-10         2.78499e-13
             0.831558                1.94812e-10         2.64798e-13
             0.831790                1.95483e-10         2.67136e-13
             0.832023                2.03968e-10         2.78628e-13
             0.832256                2.02972e-10         2.86558e-13
             0.832488                1.92994e-10         2.81545e-13
             0.832721                1.93119e-10         2.73660e-13
             0.832954                2.02118e-10         2.75877e-13
             0.833186                2.04573e-10         2.74140e-13
             0.833419                1.91783e-10         2.62422e-13
             0.833652                1.75805e-10         2.48131e-13
             0.833884                1.87212e-10         2.67396e-13
             0.834117                2.05963e-10         2.93283e-13
             0.834349                2.07937e-10         2.89669e-13
             0.834582                1.94988e-10         2.66549e-13
             0.834814                1.85130e-10         2.54053e-13
             0.835047                1.97400e-10         2.65881e-13
             0.835280                2.11943e-10         2.86720e-13
             0.835512                2.14531e-10         2.98852e-13
             0.835745                2.07090e-10         2.88395e-13
             0.835977                1.88882e-10         2.59002e-13
             0.836210                1.83120e-10         2.47907e-13
             0.836442                1.99122e-10         2.64178e-13
             0.836675                2.13607e-10         2.83358e-13
             0.836907                2.18320e-10         2.95207e-13
             0.837140                2.14111e-10         2.96689e-13
             0.837372                2.00281e-10         2.80882e-13
             0.837605                1.81088e-10         2.53540e-13
             0.837837                1.83685e-10         2.46674e-13
             0.838070                2.04762e-10         2.71009e-13
             0.838302                2.17304e-10         2.88548e-13
             0.838535                2.21256e-10         3.05906e-13
             0.838767                2.17765e-10         2.94859e-13
             0.839000                2.08269e-10         2.77655e-13
             0.839232                1.89976e-10         2.53636e-13
             0.839465                1.75749e-10         2.37268e-13
             0.839697                1.86982e-10         2.49541e-13
             0.839930                2.08361e-10         2.77073e-13
             0.840162                2.19824e-10         2.96199e-13
