# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:50 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4133 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 182835'          /                                                
# SPTYPE  = 'F2 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2001 Sep 01'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811080 / Minimum wavelength (um)                        
# MAXWAVE =              2.41772 / Maximum wavelength (um)                        
# V       =        4.66000000000 / V magnitude                                    
# VERR    =      0.0180000000000 / V magnitude error                              
# (B-V)   =       0.593000000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        3.10900000000 / 2MASS J magnitude                              
# JERR    =       0.250000000000 / 2MASS J magnitude error                        
# H       =        2.86600000000 / 2MASS H magnitude                              
# HERR    =       0.214000000000 / 2MASS H magnitude error                        
# KS      =        2.72800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.224000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.131572000000 / Relative error in the absolute flux calibration
# RV      =        18.9464470000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.180000000000 / Intrinsic Color                                
# E(B-V)  =       0.413000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811080                4.03599e-10         3.34551e-13
             0.811283                4.03042e-10         3.35839e-13
             0.811485                4.03936e-10         3.36538e-13
             0.811687                4.03107e-10         3.35396e-13
             0.811890                4.03284e-10         3.37321e-13
             0.812092                4.03658e-10         3.35963e-13
             0.812295                4.02986e-10         3.42139e-13
             0.812497                4.02893e-10         3.41640e-13
             0.812699                4.01918e-10         3.40010e-13
             0.812902                4.02058e-10         3.39040e-13
             0.813104                4.01753e-10         3.41977e-13
             0.813307                4.01210e-10         3.44277e-13
             0.813509                3.99085e-10         3.47016e-13
             0.813711                4.00220e-10         3.45482e-13
             0.813914                4.00581e-10         3.46563e-13
             0.814013                4.01370e-10         3.22061e-13
             0.814246                4.01576e-10         3.07222e-13
             0.814479                4.00982e-10         2.91883e-13
             0.814713                4.00712e-10         2.84778e-13
             0.814946                3.98625e-10         2.87964e-13
             0.815179                3.98425e-10         2.99772e-13
             0.815412                3.99543e-10         3.11392e-13
             0.815646                3.99801e-10         3.17270e-13
             0.815879                3.99481e-10         2.98856e-13
             0.816112                3.99432e-10         2.90984e-13
             0.816345                3.99451e-10         2.93527e-13
             0.816578                3.97810e-10         2.97846e-13
             0.816811                3.97932e-10         3.02123e-13
             0.817045                3.97186e-10         3.16725e-13
             0.817278                3.96911e-10         3.05014e-13
             0.817511                3.97662e-10         2.87357e-13
             0.817744                3.98788e-10         2.88271e-13
             0.817977                3.97316e-10         2.91813e-13
             0.818210                3.95053e-10         2.93884e-13
             0.818443                3.77618e-10         2.94710e-13
             0.818677                3.65566e-10         2.93609e-13
             0.818910                3.73265e-10         2.88768e-13
             0.819143                3.84834e-10         2.87919e-13
             0.819376                3.92189e-10         2.80099e-13
             0.819609                3.74334e-10         2.78368e-13
             0.819842                3.73156e-10         2.81525e-13
             0.820075                3.82384e-10         3.03112e-13
             0.820308                3.72748e-10         2.87556e-13
             0.820541                3.79806e-10         2.76092e-13
             0.820774                3.94234e-10         2.74597e-13
             0.821007                3.93347e-10         2.75396e-13
             0.821240                3.85043e-10         2.74363e-13
             0.821473                3.77934e-10         2.82551e-13
             0.821706                3.69856e-10         2.85939e-13
             0.821939                3.70967e-10         2.77631e-13
             0.822172                3.76642e-10         2.70021e-13
             0.822405                3.73776e-10         2.64763e-13
             0.822638                3.81120e-10         2.74941e-13
             0.822871                3.89532e-10         2.95839e-13
             0.823104                3.89822e-10         3.11482e-13
             0.823337                3.87681e-10         2.98369e-13
             0.823570                3.83047e-10         2.80491e-13
             0.823803                3.85419e-10         2.69870e-13
             0.824036                3.91857e-10         2.68684e-13
             0.824269                3.87421e-10         2.72003e-13
             0.824502                3.80890e-10         2.78140e-13
             0.824735                3.85493e-10         2.89745e-13
             0.824968                3.73294e-10         2.70044e-13
             0.825201                3.66931e-10         2.59917e-13
             0.825434                3.81110e-10         2.62408e-13
             0.825666                3.80096e-10         2.65711e-13
             0.825899                3.83449e-10         2.73892e-13
             0.826132                3.90673e-10         2.90958e-13
             0.826365                3.91413e-10         2.86830e-13
             0.826598                3.90647e-10         2.74142e-13
             0.826831                3.90911e-10         2.66445e-13
             0.827064                3.92222e-10         2.69804e-13
             0.827297                3.92218e-10         2.79017e-13
             0.827529                3.91102e-10         2.81109e-13
             0.827762                3.89696e-10         2.88310e-13
             0.827995                3.90285e-10         2.80812e-13
             0.828228                3.90389e-10         2.73543e-13
             0.828461                3.89661e-10         2.66955e-13
             0.828694                3.89469e-10         2.67857e-13
             0.828926                3.83832e-10         2.69412e-13
             0.829159                3.84537e-10         2.74834e-13
             0.829392                3.87646e-10         2.81160e-13
             0.829625                3.88901e-10         2.74651e-13
             0.829857                3.89756e-10         2.64746e-13
             0.830090                3.87644e-10         2.64616e-13
             0.830323                3.89915e-10         2.65371e-13
             0.830556                3.88733e-10         2.69884e-13
             0.830789                3.83832e-10         2.74737e-13
             0.831021                3.86560e-10         2.70431e-13
             0.831254                3.89488e-10         2.64665e-13
             0.831487                3.85245e-10         2.57872e-13
             0.831719                3.83594e-10         2.56509e-13
             0.831952                3.89718e-10         2.62893e-13
             0.832185                3.91879e-10         2.72107e-13
             0.832418                3.83929e-10         2.73266e-13
             0.832650                3.78711e-10         2.64629e-13
             0.832883                3.77580e-10         2.54286e-13
             0.833116                3.83231e-10         2.54047e-13
             0.833348                3.78921e-10         2.52666e-13
             0.833581                3.57086e-10         2.46641e-13
             0.833814                3.57909e-10         2.51916e-13
             0.834046                3.81374e-10         2.68082e-13
             0.834279                3.92142e-10         2.61517e-13
             0.834512                3.85218e-10         2.52791e-13
