# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:24 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7674 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 135153'          /                                                
# SPTYPE  = 'F0 Ib-II'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Sep 01'        / UT date of SXD observations                    
# LXDUT   = '2001 Sep 01'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807999 / Minimum wavelength (um)                        
# MAXWAVE =              5.07561 / Maximum wavelength (um)                        
# V       =        4.90400000000 / V magnitude                                    
# VERR    =     0.00500000000000 / V magnitude error                              
# (B-V)   =       0.376000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        4.25800000000 / 2MASS J magnitude                              
# JERR    =       0.252000000000 / 2MASS J magnitude error                        
# H       =        4.00700000000 / 2MASS H magnitude                              
# HERR    =       0.194000000000 / 2MASS H magnitude error                        
# KS      =        3.99100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.276000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.134298000000 / Relative error in the absolute flux calibration
# RV      =       -10.4420860000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.180000000000 / Intrinsic Color                                
# E(B-V)  =       0.196000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807999                1.54970e-10         2.19199e-13
             0.808202                1.54485e-10         2.19458e-13
             0.808404                1.55060e-10         2.19148e-13
             0.808607                1.53605e-10         2.18720e-13
             0.808810                1.53890e-10         2.19975e-13
             0.809012                1.54467e-10         2.19493e-13
             0.809215                1.54758e-10         2.20836e-13
             0.809417                1.53991e-10         2.19047e-13
             0.809620                1.54655e-10         2.19684e-13
             0.809822                1.53876e-10         2.21078e-13
             0.810025                1.53526e-10         2.20553e-13
             0.810228                1.53265e-10         2.23762e-13
             0.810430                1.54238e-10         2.25692e-13
             0.810633                1.54371e-10         2.33861e-13
             0.810835                1.54420e-10         2.28825e-13
             0.811038                1.54106e-10         2.22065e-13
             0.811241                1.54346e-10         2.24237e-13
             0.811443                1.54253e-10         2.24554e-13
             0.811646                1.54307e-10         2.24919e-13
             0.811682                1.54089e-10         1.88573e-13
             0.811915                1.54157e-10         1.97141e-13
             0.812147                1.54065e-10         2.07745e-13
             0.812380                1.53660e-10         1.99207e-13
             0.812613                1.53581e-10         1.89055e-13
             0.812845                1.53721e-10         1.85126e-13
             0.813078                1.53317e-10         1.84509e-13
             0.813310                1.53012e-10         1.90465e-13
             0.813543                1.51993e-10         1.98008e-13
             0.813775                1.52249e-10         2.08262e-13
             0.814008                1.53733e-10         1.97605e-13
             0.814240                1.52711e-10         1.87704e-13
             0.814473                1.52519e-10         1.85248e-13
             0.814705                1.52885e-10         1.85806e-13
             0.814938                1.52339e-10         1.90457e-13
             0.815170                1.51343e-10         2.00015e-13
             0.815403                1.52213e-10         2.05327e-13
             0.815635                1.52206e-10         1.97019e-13
             0.815868                1.51922e-10         1.87215e-13
             0.816100                1.53035e-10         1.85321e-13
             0.816333                1.52075e-10         1.87347e-13
             0.816565                1.50282e-10         1.96265e-13
             0.816798                1.51340e-10         2.05068e-13
             0.817030                1.51860e-10         2.02249e-13
             0.817263                1.50164e-10         1.91477e-13
             0.817495                1.51943e-10         1.85018e-13
             0.817728                1.53235e-10         1.84240e-13
             0.817960                1.50672e-10         1.88182e-13
             0.818193                1.49744e-10         2.01372e-13
             0.818425                1.46867e-10         2.00737e-13
             0.818657                1.43219e-10         1.88680e-13
             0.818890                1.45473e-10         1.83770e-13
             0.819122                1.47364e-10         1.82417e-13
             0.819355                1.49433e-10         1.84194e-13
             0.819587                1.46312e-10         1.84828e-13
             0.819820                1.43944e-10         1.88539e-13
             0.820052                1.45586e-10         1.97647e-13
             0.820284                1.44443e-10         1.86582e-13
             0.820517                1.45976e-10         1.78783e-13
             0.820749                1.50514e-10         1.78531e-13
