# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:33 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6932 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 89025'           /                                                
# SPTYPE  = 'F0 IIIa '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2007 Apr 25'        / UT date of SXD observations                    
# LXDUT   = '2007 Apr 25'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803565 / Minimum wavelength (um)                        
# MAXWAVE =              4.15937 / Maximum wavelength (um)                        
# V       =        3.43500000000 / V magnitude                                    
# VERR    =      0.0190000000000 / V magnitude error                              
# (B-V)   =       0.307000000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =        2.70000000000 / 2MASS J magnitude                              
# JERR    =       0.232000000000 / 2MASS J magnitude error                        
# H       =        2.62800000000 / 2MASS H magnitude                              
# HERR    =       0.208000000000 / 2MASS H magnitude error                        
# KS      =        2.63100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.280000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.135522000000 / Relative error in the absolute flux calibration
# RV      =        8.40316870000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.320000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0130000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803565                7.13163e-10         1.07267e-12
             0.803767                7.11929e-10         1.07008e-12
             0.803970                7.14798e-10         1.07990e-12
             0.804172                7.10279e-10         1.07648e-12
             0.804375                7.12313e-10         1.08006e-12
             0.804577                7.04807e-10         1.07199e-12
             0.804780                6.97515e-10         1.06583e-12
             0.804982                6.95616e-10         1.05585e-12
             0.805185                7.01902e-10         1.07326e-12
             0.805387                7.05190e-10         1.07626e-12
             0.805590                7.06449e-10         1.08003e-12
             0.805792                7.03599e-10         1.07847e-12
             0.805995                7.01053e-10         1.07766e-12
             0.806197                7.01634e-10         1.08112e-12
             0.806400                7.04324e-10         1.09187e-12
             0.806602                7.07909e-10         1.09453e-12
             0.806805                7.07700e-10         1.09505e-12
             0.807007                7.04300e-10         1.09303e-12
             0.807210                6.99979e-10         1.08427e-12
             0.807214                6.98970e-10         9.14667e-13
             0.807447                7.01062e-10         9.40221e-13
             0.807680                7.00832e-10         9.77592e-13
             0.807913                7.01939e-10         1.03797e-12
             0.808147                7.02295e-10         9.97453e-13
             0.808380                6.98025e-10         9.42295e-13
             0.808613                6.92921e-10         9.10919e-13
             0.808846                6.91418e-10         9.05632e-13
             0.809080                6.97120e-10         9.41811e-13
             0.809313                6.98606e-10         9.94780e-13
             0.809546                6.96922e-10         1.02748e-12
             0.809779                6.94458e-10         9.59170e-13
             0.810012                6.93223e-10         9.19509e-13
             0.810246                6.95041e-10         9.10034e-13
             0.810479                6.98490e-10         9.21428e-13
             0.810712                6.98071e-10         9.59895e-13
             0.810945                6.97345e-10         1.00211e-12
             0.811178                6.97998e-10         9.90763e-13
             0.811411                6.97684e-10         9.47715e-13
             0.811644                6.96589e-10         9.09746e-13
             0.811878                6.96163e-10         9.06149e-13
             0.812111                6.96304e-10         9.30017e-13
             0.812344                6.95835e-10         9.69332e-13
             0.812577                6.93730e-10         1.00764e-12
             0.812810                6.93964e-10         9.56066e-13
             0.813043                6.93992e-10         9.18041e-13
             0.813276                6.91730e-10         8.98699e-13
             0.813509                6.91053e-10         9.05269e-13
             0.813743                6.91332e-10         9.33494e-13
             0.813976                6.90962e-10         9.75856e-13
             0.814209                6.93593e-10         9.81659e-13
             0.814442                6.89459e-10         9.26242e-13
             0.814675                6.89355e-10         9.01544e-13
             0.814908                6.87951e-10         8.87248e-13
             0.815141                6.87541e-10         9.09414e-13
             0.815374                6.89294e-10         9.50505e-13
             0.815607                6.89969e-10         9.95482e-13
             0.815840                6.88116e-10         9.50379e-13
             0.816073                6.87363e-10         9.08832e-13
             0.816306                6.88561e-10         9.07548e-13
