# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:37 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7646 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 27397'           /                                                
# SPTYPE  = 'F0 IV   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806172 / Minimum wavelength (um)                        
# MAXWAVE =              5.04050 / Maximum wavelength (um)                        
# V       =        5.59300000000 / V magnitude                                    
# VERR    =     0.00700000000000 / V magnitude error                              
# (B-V)   =       0.283000000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        5.00200000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.92700000000 / 2MASS H magnitude                              
# HERR    =      0.0470000000000 / 2MASS H magnitude error                        
# KS      =        4.85300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0150000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0133303000000 / Relative error in the absolute flux calibration
# RV      =       -5.47329970000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.300000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0170000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806172                9.28390e-11         1.35486e-13
             0.806374                9.33847e-11         1.39879e-13
             0.806577                9.30707e-11         1.35206e-13
             0.806780                9.31444e-11         1.34971e-13
             0.806982                9.26423e-11         1.34347e-13
             0.807184                9.26309e-11         1.34950e-13
             0.807387                9.24767e-11         1.35036e-13
             0.807589                9.27206e-11         1.34700e-13
             0.807792                9.26916e-11         1.35761e-13
             0.807994                9.27782e-11         1.36060e-13
             0.808197                9.25912e-11         1.35264e-13
             0.808399                9.24162e-11         1.35882e-13
             0.808602                9.13413e-11         1.34882e-13
             0.808804                9.15369e-11         1.34084e-13
             0.809007                9.18566e-11         1.37294e-13
             0.809209                9.24293e-11         1.35708e-13
             0.809412                9.18121e-11         1.36042e-13
             0.809545                9.16939e-11         1.21610e-13
             0.809778                9.16681e-11         1.15577e-13
             0.810011                9.15433e-11         1.12823e-13
             0.810244                9.16679e-11         1.15537e-13
             0.810477                9.19296e-11         1.17415e-13
             0.810710                9.20056e-11         1.24224e-13
             0.810943                9.22183e-11         1.25150e-13
             0.811176                9.19816e-11         1.18548e-13
             0.811409                9.20927e-11         1.14188e-13
             0.811642                9.19444e-11         1.13057e-13
             0.811875                9.19185e-11         1.14162e-13
             0.812108                9.16792e-11         1.18616e-13
             0.812340                9.15753e-11         1.24927e-13
             0.812573                9.17123e-11         1.21805e-13
             0.812806                9.15319e-11         1.25397e-13
             0.813039                9.14290e-11         1.12053e-13
             0.813272                9.12224e-11         1.11644e-13
             0.813505                9.10818e-11         1.14530e-13
             0.813738                9.08918e-11         1.20301e-13
             0.813971                9.12535e-11         1.23977e-13
             0.814204                9.10093e-11         1.17547e-13
             0.814437                9.10241e-11         1.13365e-13
             0.814670                9.08051e-11         1.15916e-13
             0.814902                9.08144e-11         1.11870e-13
             0.815135                9.06502e-11         1.17960e-13
             0.815368                9.09480e-11         1.21218e-13
             0.815601                9.06809e-11         1.24458e-13
             0.815834                9.07494e-11         1.17073e-13
             0.816067                9.09569e-11         1.12176e-13
             0.816300                9.05526e-11         1.11230e-13
             0.816532                9.03316e-11         1.13641e-13
             0.816765                9.04961e-11         1.18114e-13
             0.816998                9.04639e-11         1.23144e-13
             0.817231                9.01190e-11         1.18893e-13
             0.817464                9.04017e-11         1.13424e-13
             0.817697                9.04521e-11         1.10577e-13
             0.817930                8.99860e-11         1.11140e-13
             0.818162                8.94848e-11         1.14264e-13
             0.818395                8.81817e-11         1.16819e-13
             0.818628                8.73920e-11         1.18772e-13
             0.818861                8.83270e-11         1.14067e-13
             0.819093                8.90735e-11         1.11094e-13
             0.819326                8.91727e-11         1.10307e-13
             0.819559                8.72572e-11         1.08706e-13
             0.819792                8.61703e-11         1.10864e-13
             0.820025                8.63380e-11         1.19684e-13
             0.820257                8.66665e-11         1.14751e-13
             0.820490                8.74558e-11         1.10177e-13
             0.820723                8.87709e-11         1.15215e-13
             0.820956                8.90422e-11         1.08812e-13
             0.821188                8.84054e-11         1.08617e-13
             0.821421                8.71854e-11         1.11552e-13
             0.821654                8.69660e-11         1.16071e-13
             0.821887                8.71514e-11         1.12215e-13
             0.822119                8.70499e-11         1.08232e-13
             0.822352                8.71057e-11         1.06030e-13
             0.822585                8.80202e-11         1.07154e-13
             0.822817                8.87831e-11         1.10778e-13
             0.823050                8.83177e-11         1.15593e-13
             0.823283                8.80643e-11         1.16359e-13
             0.823515                8.73631e-11         1.10754e-13
             0.823748                8.74739e-11         1.09590e-13
             0.823981                8.81185e-11         1.05187e-13
             0.824213                8.87876e-11         1.07134e-13
             0.824446                8.85136e-11         1.10165e-13
             0.824679                8.78546e-11         1.14127e-13
             0.824911                8.62092e-11         1.09653e-13
             0.825144                8.46886e-11         1.04446e-13
             0.825377                8.59272e-11         1.02808e-13
             0.825609                8.69893e-11         1.03975e-13
             0.825842                8.71947e-11         1.07850e-13
             0.826075                8.78069e-11         1.12729e-13
             0.826307                8.80078e-11         1.20683e-13
             0.826540                8.80115e-11         1.17069e-13
             0.826772                8.78434e-11         1.05563e-13
             0.827005                8.79906e-11         1.03762e-13
             0.827238                8.81667e-11         1.04298e-13
             0.827470                8.78777e-11         1.06871e-13
             0.827703                8.76509e-11         1.10569e-13
             0.827936                8.77147e-11         1.11259e-13
             0.828168                8.78162e-11         1.07483e-13
             0.828401                8.74146e-11         1.04833e-13
             0.828633                8.75406e-11         1.03353e-13
             0.828866                8.70107e-11         1.04303e-13
             0.829098                8.68082e-11         1.07311e-13
             0.829331                8.71671e-11         1.11396e-13
             0.829563                8.71282e-11         1.08964e-13
             0.829796                8.71185e-11         1.05596e-13
             0.830029                8.73399e-11         1.03445e-13
             0.830261                8.71640e-11         1.05012e-13
             0.830494                8.69258e-11         1.04408e-13
             0.830726                8.66202e-11         1.07298e-13
             0.830959                8.64546e-11         1.09658e-13
             0.831191                8.65665e-11         1.05735e-13
             0.831424                8.65285e-11         1.03080e-13
             0.831656                8.65230e-11         1.02096e-13
             0.831889                8.67875e-11         1.06940e-13
             0.832121                8.68243e-11         1.04514e-13
             0.832354                8.66103e-11         1.07661e-13
             0.832586                8.61296e-11         1.07258e-13
             0.832819                8.51648e-11         1.02787e-13
             0.833051                8.47057e-11         1.00471e-13
             0.833284                8.48296e-11         1.00326e-13
             0.833516                8.41009e-11         1.01360e-13
             0.833748                8.36551e-11         1.03989e-13
             0.833981                8.41407e-11         1.06499e-13
             0.834213                8.51165e-11         1.04961e-13
             0.834446                8.57518e-11         1.02590e-13
             0.834678                8.54681e-11         1.00259e-13
