# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:39 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6948 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 108519'          /                                                
# SPTYPE  = 'F0 V(n) '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2007 Jun 24'        / UT date of SXD observations                    
# LXDUT   = '2007 Jun 24'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804780 / Minimum wavelength (um)                        
# MAXWAVE =              4.17841 / Maximum wavelength (um)                        
# V       =        7.70500000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =       0.273000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        7.09300000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        6.99800000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        6.96500000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0400000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0159452000000 / Relative error in the absolute flux calibration
# RV      =        16.7433360000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.320000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0470000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804780                1.34371e-11         2.42436e-14
             0.804982                1.33996e-11         2.43579e-14
             0.805185                1.34327e-11         2.44277e-14
             0.805387                1.34293e-11         2.41794e-14
             0.805589                1.35077e-11         2.45096e-14
             0.805792                1.34549e-11         2.44013e-14
             0.805994                1.34613e-11         2.44515e-14
             0.806197                1.34228e-11         2.44165e-14
             0.806399                1.34549e-11         2.45673e-14
             0.806601                1.34599e-11         2.45812e-14
             0.806804                1.34737e-11         2.47438e-14
             0.807006                1.34490e-11         2.46537e-14
             0.807209                1.34172e-11         2.46971e-14
             0.807411                1.33954e-11         2.49415e-14
             0.807613                1.34182e-11         2.47095e-14
             0.807816                1.34136e-11         2.47942e-14
             0.808018                1.33884e-11         2.47558e-14
             0.808220                1.33884e-11         2.47815e-14
             0.808369                1.33445e-11         2.15150e-14
             0.808602                1.32929e-11         2.06539e-14
             0.808836                1.33019e-11         2.05237e-14
             0.809069                1.33110e-11         2.10427e-14
             0.809303                1.32837e-11         2.18856e-14
             0.809536                1.32918e-11         2.32271e-14
             0.809769                1.32758e-11         2.19053e-14
             0.810003                1.32460e-11         2.13819e-14
             0.810236                1.33194e-11         2.04768e-14
             0.810470                1.32606e-11         2.05465e-14
             0.810703                1.33021e-11         2.13876e-14
             0.810936                1.33105e-11         2.24582e-14
             0.811170                1.33182e-11         2.25421e-14
             0.811403                1.32769e-11         2.11926e-14
             0.811636                1.32937e-11         2.06000e-14
             0.811870                1.33050e-11         2.07110e-14
             0.812103                1.32923e-11         2.08031e-14
             0.812337                1.31962e-11         2.16105e-14
             0.812570                1.32390e-11         2.28755e-14
             0.812803                1.32130e-11         2.15131e-14
             0.813037                1.32293e-11         2.07262e-14
             0.813270                1.32180e-11         2.02797e-14
             0.813503                1.31943e-11         2.05486e-14
             0.813736                1.31722e-11         2.12049e-14
             0.813970                1.31631e-11         2.20445e-14
             0.814203                1.31886e-11         2.22353e-14
             0.814436                1.31493e-11         2.10293e-14
             0.814669                1.31518e-11         2.03481e-14
             0.814903                1.31479e-11         2.02712e-14
             0.815136                1.31008e-11         2.05720e-14
             0.815369                1.31093e-11         2.14013e-14
             0.815602                1.30814e-11         2.26699e-14
             0.815836                1.30878e-11         2.18030e-14
             0.816069                1.31303e-11         2.06951e-14
             0.816302                1.30854e-11         2.04642e-14
             0.816535                1.30132e-11         2.06953e-14
             0.816769                1.30473e-11         2.14653e-14
             0.817002                1.30700e-11         2.22106e-14
             0.817235                1.30109e-11         2.19986e-14
             0.817468                1.30523e-11         2.08023e-14
             0.817701                1.30476e-11         2.02877e-14
             0.817934                1.29234e-11         2.03847e-14
