# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:41 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7598 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 173638'          /                                                
# SPTYPE  = 'F1 II   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2008 Oct 08'        / UT date of SXD observations                    
# LXDUT   = '2008 Oct 12'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.802191 / Minimum wavelength (um)                        
# MAXWAVE =              5.00687 / Maximum wavelength (um)                        
# V       =        5.71000000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =       0.595000000000 / B-V color                                      
# (B-V)ERR=      0.0110000000000 / B-V color error                                
# J       =        4.21300000000 / 2MASS J magnitude                              
# JERR    =       0.262000000000 / 2MASS J magnitude error                        
# H       =        3.90800000000 / 2MASS H magnitude                              
# HERR    =       0.228000000000 / 2MASS H magnitude error                        
# KS      =        3.84000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.298000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.148963000000 / Relative error in the absolute flux calibration
# RV      =        21.8483180000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.220000000000 / Intrinsic Color                                
# E(B-V)  =       0.375000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.802191                1.43793e-10         2.62146e-13
             0.802394                1.42893e-10         2.60969e-13
             0.802596                1.43100e-10         2.60894e-13
             0.802799                1.42780e-10         2.62150e-13
             0.803002                1.42113e-10         2.61733e-13
             0.803204                1.42423e-10         2.61558e-13
             0.803407                1.43224e-10         2.63997e-13
             0.803609                1.42681e-10         2.63413e-13
             0.803812                1.42942e-10         2.64437e-13
             0.804014                1.42366e-10         2.63730e-13
             0.804217                1.43003e-10         2.66662e-13
             0.804419                1.42671e-10         2.63867e-13
             0.804622                1.41598e-10         2.64677e-13
             0.804824                1.39909e-10         2.61381e-13
             0.805027                1.41290e-10         2.64308e-13
             0.805229                1.41991e-10         2.65858e-13
             0.805432                1.42445e-10         2.67240e-13
             0.805635                1.42358e-10         2.67567e-13
             0.805837                1.42133e-10         2.70109e-13
             0.806040                1.41054e-10         2.66240e-13
             0.806362                1.41367e-10         2.58384e-13
             0.806595                1.42340e-10         2.44582e-13
             0.806828                1.42315e-10         2.35455e-13
             0.807062                1.41868e-10         2.31962e-13
             0.807295                1.41397e-10         2.38001e-13
             0.807528                1.41337e-10         2.49992e-13
             0.807762                1.41217e-10         2.65047e-13
             0.807995                1.40946e-10         2.48109e-13
             0.808228                1.41242e-10         2.36003e-13
             0.808461                1.40675e-10         2.30418e-13
             0.808695                1.39511e-10         2.29739e-13
             0.808928                1.40667e-10         2.40949e-13
             0.809161                1.41005e-10         2.55023e-13
             0.809395                1.40431e-10         2.55238e-13
             0.809628                1.40673e-10         2.42064e-13
             0.809861                1.40395e-10         2.31111e-13
             0.810094                1.40319e-10         2.29529e-13
             0.810327                1.40425e-10         2.32013e-13
             0.810561                1.40618e-10         2.43754e-13
             0.810794                1.40318e-10         2.58725e-13
             0.811027                1.40497e-10         2.47475e-13
             0.811260                1.40911e-10         2.36359e-13
             0.811494                1.40591e-10         2.29575e-13
             0.811727                1.40561e-10         2.29339e-13
             0.811960                1.40786e-10         2.37247e-13
             0.812193                1.40281e-10         2.48120e-13
             0.812426                1.40120e-10         2.54355e-13
             0.812659                1.40270e-10         2.40618e-13
             0.812892                1.40007e-10         2.30790e-13
             0.813126                1.40131e-10         2.27052e-13
             0.813359                1.39548e-10         2.31896e-13
             0.813592                1.39452e-10         2.39827e-13
             0.813825                1.39813e-10         2.52643e-13
             0.814058                1.40034e-10         2.46900e-13
             0.814291                1.39964e-10         2.35719e-13
             0.814524                1.40130e-10         2.29938e-13
             0.814757                1.39952e-10         2.29310e-13
             0.814991                1.38809e-10         2.33250e-13
             0.815224                1.39092e-10         2.43927e-13
