# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:45 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6774 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 213135'          /                                                
# SPTYPE  = 'F1 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2008 Oct 08'        / UT date of SXD observations                    
# LXDUT   = '2008 Oct 12'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.802331 / Minimum wavelength (um)                        
# MAXWAVE =              4.15878 / Maximum wavelength (um)                        
# V       =        5.94200000000 / V magnitude                                    
# VERR    =     0.00400000000000 / V magnitude error                              
# (B-V)   =       0.343000000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        5.27600000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        5.12200000000 / 2MASS H magnitude                              
# HERR    =      0.0270000000000 / 2MASS H magnitude error                        
# KS      =        5.03100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0125277000000 / Relative error in the absolute flux calibration
# RV      =        28.2980770000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.340000000000 / Intrinsic Color                                
# E(B-V)  =     0.00299999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.802331                7.19089e-11         1.36972e-13
             0.802533                7.18344e-11         1.37095e-13
             0.802736                7.15245e-11         1.37312e-13
             0.802938                7.13367e-11         1.37271e-13
             0.803141                7.08349e-11         1.36021e-13
             0.803343                7.14937e-11         1.37900e-13
             0.803546                7.15889e-11         1.38340e-13
             0.803748                7.14513e-11         1.38123e-13
             0.803951                7.17030e-11         1.38492e-13
             0.804153                7.17561e-11         1.39896e-13
             0.804356                7.15339e-11         1.38651e-13
             0.804558                7.10844e-11         1.39077e-13
             0.804761                7.02795e-11         1.36882e-13
             0.804963                7.01326e-11         1.36907e-13
             0.805166                7.05869e-11         1.37882e-13
             0.805368                7.12280e-11         1.39754e-13
             0.805571                7.12121e-11         1.40028e-13
             0.805773                7.07431e-11         1.39333e-13
             0.806038                7.09702e-11         1.27253e-13
             0.806271                7.10329e-11         1.35261e-13
             0.806505                7.12625e-11         1.31948e-13
             0.806738                7.09756e-11         1.24107e-13
             0.806972                7.10161e-11         1.19942e-13
             0.807205                7.06133e-11         1.19265e-13
             0.807439                7.06887e-11         1.23286e-13
             0.807672                7.08329e-11         1.30746e-13
             0.807906                7.08191e-11         1.36164e-13
             0.808139                7.06763e-11         1.26132e-13
             0.808373                7.05840e-11         1.27000e-13
             0.808606                6.99025e-11         1.17735e-13
             0.808840                6.98633e-11         1.19400e-13
             0.809073                7.05950e-11         1.25755e-13
             0.809307                7.03979e-11         1.32271e-13
             0.809540                6.99273e-11         1.28580e-13
             0.809773                6.99671e-11         1.21741e-13
             0.810007                6.96564e-11         1.17561e-13
             0.810240                6.97358e-11         1.16666e-13
             0.810474                7.02164e-11         1.21106e-13
             0.810707                7.03197e-11         1.27809e-13
             0.810940                7.03748e-11         1.32679e-13
             0.811174                7.03426e-11         1.25240e-13
             0.811407                7.03988e-11         1.20410e-13
             0.811641                7.03031e-11         1.17811e-13
             0.811874                7.00234e-11         1.18430e-13
             0.812107                7.00478e-11         1.22971e-13
             0.812341                7.02264e-11         1.30638e-13
             0.812574                6.98848e-11         1.27695e-13
             0.812807                6.98604e-11         1.21071e-13
             0.813041                6.99426e-11         1.17456e-13
             0.813274                6.96285e-11         1.19477e-13
             0.813507                6.96384e-11         1.24346e-13
             0.813740                6.93976e-11         1.26267e-13
             0.813974                6.95869e-11         1.30611e-13
             0.814207                6.97792e-11         1.24590e-13
             0.814440                6.93740e-11         1.19158e-13
             0.814674                6.95423e-11         1.17330e-13
             0.814907                6.93208e-11         1.18570e-13
             0.815140                6.90486e-11         1.22112e-13
             0.815373                6.92450e-11         1.28104e-13
             0.815607                6.92556e-11         1.27962e-13
