# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:16 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7612 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 185018'          /                                                
# SPTYPE  = 'G0 Ib-II'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807847 / Minimum wavelength (um)                        
# MAXWAVE =              5.01632 / Maximum wavelength (um)                        
# V       =        5.97800000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.881000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.36400000000 / 2MASS J magnitude                              
# JERR    =       0.242000000000 / 2MASS J magnitude error                        
# H       =        3.92500000000 / 2MASS H magnitude                              
# HERR    =       0.216000000000 / 2MASS H magnitude error                        
# KS      =        3.95300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0351340000000 / Relative error in the absolute flux calibration
# RV      =        38.6683410000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.770000000000 / Intrinsic Color                                
# E(B-V)  =       0.111000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807847                1.11452e-10         2.49572e-13
             0.808050                1.12087e-10         2.49187e-13
             0.808252                1.11099e-10         2.50017e-13
             0.808455                1.10548e-10         2.48767e-13
             0.808657                1.09027e-10         2.46945e-13
             0.808860                1.09283e-10         2.46566e-13
             0.809062                1.11100e-10         2.49957e-13
             0.809265                1.10342e-10         2.59765e-13
             0.809467                1.08353e-10         2.47403e-13
             0.809670                1.08867e-10         2.47358e-13
             0.809872                1.09500e-10         2.51680e-13
             0.810075                1.08999e-10         2.49711e-13
             0.810277                1.10835e-10         2.52372e-13
             0.810480                1.11945e-10         2.54464e-13
             0.810682                1.10823e-10         2.53486e-13
             0.810809                1.10735e-10         2.20503e-13
             0.811042                1.10919e-10         2.11684e-13
             0.811275                1.11417e-10         2.05920e-13
             0.811508                1.11707e-10         2.07042e-13
             0.811741                1.11112e-10         2.11857e-13
             0.811974                1.11175e-10         2.21291e-13
             0.812207                1.11295e-10         2.28412e-13
             0.812440                1.11465e-10         2.17944e-13
             0.812673                1.11360e-10         2.08504e-13
             0.812906                1.10567e-10         2.03011e-13
             0.813139                1.10691e-10         2.06237e-13
             0.813372                1.10950e-10         2.20312e-13
             0.813605                1.10866e-10         2.24197e-13
             0.813838                1.10982e-10         2.27912e-13
             0.814071                1.11137e-10         2.12433e-13
             0.814304                1.10546e-10         2.08537e-13
             0.814537                1.10191e-10         2.02459e-13
             0.814770                1.10515e-10         2.07487e-13
             0.815003                1.10096e-10         2.15332e-13
             0.815236                1.10253e-10         2.24865e-13
             0.815469                1.10786e-10         2.17075e-13
             0.815702                1.10650e-10         2.07417e-13
             0.815934                1.11030e-10         2.03023e-13
             0.816167                1.10742e-10         2.03734e-13
             0.816400                1.10122e-10         2.11094e-13
             0.816633                1.09841e-10         2.18739e-13
             0.816866                1.10239e-10         2.22230e-13
             0.817099                1.09805e-10         2.21504e-13
             0.817332                1.10136e-10         2.03874e-13
             0.817565                1.09674e-10         1.99520e-13
             0.817798                1.10105e-10         2.04202e-13
             0.818030                1.09631e-10         2.13022e-13
             0.818263                1.08336e-10         2.17887e-13
             0.818496                1.04474e-10         2.06887e-13
             0.818729                1.05226e-10         2.00772e-13
             0.818962                1.08540e-10         2.19113e-13
             0.819195                1.10106e-10         2.01301e-13
             0.819428                1.08319e-10         2.05582e-13
             0.819660                1.03178e-10         2.02417e-13
             0.819893                1.03704e-10         2.11108e-13
             0.820126                1.06617e-10         2.05610e-13
             0.820359                1.07407e-10         1.98614e-13
             0.820592                1.08809e-10         1.95889e-13
             0.820824                1.08488e-10         1.95833e-13
             0.821057                1.07561e-10         1.99275e-13
             0.821290                1.07896e-10         2.09314e-13
             0.821523                1.06668e-10         2.08801e-13
             0.821756                1.07482e-10         2.02027e-13
             0.821988                1.07822e-10         1.99925e-13
             0.822221                1.05056e-10         1.90967e-13
             0.822454                1.06560e-10         1.95816e-13
             0.822687                1.09924e-10         2.07221e-13
             0.822919                1.09825e-10         2.18879e-13
             0.823152                1.08319e-10         2.11075e-13
             0.823385                1.06881e-10         2.01497e-13
             0.823617                1.07828e-10         2.00219e-13
             0.823850                1.08485e-10         1.95159e-13
             0.824083                1.08230e-10         1.97769e-13
             0.824316                1.08386e-10         2.05282e-13
             0.824548                1.08707e-10         2.11775e-13
             0.824781                1.08391e-10         2.04010e-13
             0.825014                1.05797e-10         1.92692e-13
             0.825246                1.05781e-10         1.89611e-13
             0.825479                1.08282e-10         1.93390e-13
             0.825712                1.08026e-10         2.03676e-13
             0.825944                1.08329e-10         2.05706e-13
             0.826177                1.09157e-10         2.09336e-13
             0.826410                1.09228e-10         1.99600e-13
             0.826642                1.08208e-10         1.93628e-13
             0.826875                1.08162e-10         1.91267e-13
             0.827108                1.08604e-10         1.96302e-13
             0.827340                1.08725e-10         2.00374e-13
             0.827573                1.08000e-10         2.26471e-13
             0.827806                1.07531e-10         2.01365e-13
             0.828038                1.08867e-10         1.99922e-13
             0.828271                1.09262e-10         1.93908e-13
             0.828503                1.08538e-10         1.91743e-13
             0.828736                1.08380e-10         1.95050e-13
             0.828969                1.07820e-10         2.05013e-13
             0.829201                1.07501e-10         2.03511e-13
             0.829434                1.07249e-10         1.97071e-13
             0.829666                1.06790e-10         1.90957e-13
             0.829899                1.07477e-10         1.89389e-13
             0.830132                1.07457e-10         1.89390e-13
             0.830364                1.07907e-10         1.96610e-13
             0.830597                1.07126e-10         1.99912e-13
             0.830829                1.06069e-10         1.97250e-13
             0.831062                1.06185e-10         1.91346e-13
             0.831294                1.05868e-10         1.87149e-13
             0.831527                1.07266e-10         1.87299e-13
             0.831759                1.07780e-10         1.91988e-13
             0.831992                1.08232e-10         1.95656e-13
             0.832224                1.07447e-10         2.01155e-13
             0.832457                1.07023e-10         1.97204e-13
             0.832690                1.05054e-10         1.87134e-13
             0.832922                1.02610e-10         1.82817e-13
             0.833154                1.03573e-10         1.82978e-13
             0.833387                1.03269e-10         1.85691e-13
             0.833620                1.01658e-10         1.88258e-13
             0.833852                1.03110e-10         1.92884e-13
             0.834084                1.03939e-10         1.88651e-13
             0.834317                1.04976e-10         1.84922e-13
             0.834549                1.06014e-10         1.84228e-13
             0.834782                1.04545e-10         1.85016e-13
             0.835014                1.04494e-10         1.92445e-13
             0.835247                1.06877e-10         1.94894e-13
             0.835479                1.08001e-10         1.95131e-13
             0.835712                1.07262e-10         1.90205e-13
             0.835944                1.06565e-10         1.85171e-13
             0.836177                1.05363e-10         1.91346e-13
             0.836409                1.05286e-10         1.89642e-13
             0.836641                1.05021e-10         1.86970e-13
             0.836874                1.05582e-10         1.92509e-13
             0.837106                1.06931e-10         1.90326e-13
             0.837339                1.06659e-10         1.86403e-13
             0.837571                1.06651e-10         1.83293e-13
             0.837803                1.06087e-10         1.82680e-13
             0.838036                1.06282e-10         1.85145e-13
             0.838268                1.06616e-10         1.89516e-13
             0.838500                1.05481e-10         1.90655e-13
             0.838733                1.04489e-10         1.84627e-13
             0.838965                1.01844e-10         1.79378e-13
             0.839198                1.02752e-10         1.81615e-13
             0.839430                1.05636e-10         1.82001e-13
             0.839662                1.05856e-10         1.92359e-13
             0.839895                1.05810e-10         1.89036e-13
             0.840127                1.06093e-10         1.88941e-13
             0.840359                1.05891e-10         1.83982e-13
             0.840592                1.05552e-10         1.81330e-13
             0.840824                1.06403e-10         1.81728e-13
             0.841056                1.06472e-10         1.83486e-13
             0.841289                1.05162e-10         1.86768e-13
             0.841521                1.03455e-10         1.86334e-13
             0.841753                1.03940e-10         1.83783e-13
             0.841986                1.04857e-10         1.83790e-13
             0.842218                1.05009e-10         1.78985e-13
             0.842450                1.05031e-10         1.79279e-13
             0.842682                1.03909e-10         1.79441e-13
             0.842915                1.03394e-10         1.82208e-13
             0.843147                1.06070e-10         1.88602e-13
             0.843379                1.05971e-10         1.86882e-13
             0.843611                1.01685e-10         1.75344e-13
             0.843844                9.95863e-11         1.71504e-13
             0.844076                1.00327e-10         1.73553e-13
             0.844308                1.02561e-10         1.78923e-13
