# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:39 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4132 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 39949'           /                                                
# SPTYPE  = 'G2 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 12'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.806393 / Minimum wavelength (um)                        
# MAXWAVE =              2.41153 / Maximum wavelength (um)                        
# V       =        7.22500000000 / V magnitude                                    
# VERR    =     0.00500000000000 / V magnitude error                              
# (B-V)   =        1.09000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        5.27900000000 / 2MASS J magnitude                              
# JERR    =      0.0350000000000 / 2MASS J magnitude error                        
# H       =        4.81400000000 / 2MASS H magnitude                              
# HERR    =      0.0360000000000 / 2MASS H magnitude error                        
# KS      =        4.66400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0134911000000 / Relative error in the absolute flux calibration
# RV      =       -31.9879880000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.880000000000 / Intrinsic Color                                
# E(B-V)  =       0.210000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806393                4.68260e-11         9.24603e-14
             0.806595                4.71994e-11         8.87045e-14
             0.806798                4.72148e-11         8.94733e-14
             0.807000                4.66316e-11         8.83901e-14
             0.807202                4.59102e-11         8.75776e-14
             0.807405                4.54334e-11         8.77049e-14
             0.807607                4.55420e-11         9.00118e-14
             0.807810                4.60969e-11         8.79626e-14
             0.808012                4.67131e-11         8.93331e-14
             0.808215                4.62097e-11         8.81836e-14
             0.808417                4.59385e-11         8.85269e-14
             0.808620                4.53095e-11         8.76858e-14
             0.808822                4.52620e-11         8.79919e-14
             0.809025                4.63640e-11         8.90037e-14
             0.809227                4.58585e-11         8.85551e-14
             0.809429                4.45919e-11         8.69699e-14
             0.809554                4.46007e-11         7.79905e-14
             0.809787                4.52071e-11         7.47413e-14
             0.810020                4.51970e-11         7.29662e-14
             0.810254                4.60455e-11         7.35835e-14
             0.810487                4.62186e-11         7.56323e-14
             0.810720                4.57711e-11         7.86043e-14
             0.810953                4.57965e-11         8.16175e-14
             0.811187                4.59756e-11         7.76044e-14
             0.811420                4.59122e-11         7.42343e-14
             0.811653                4.57522e-11         7.29539e-14
             0.811886                4.58705e-11         7.37687e-14
             0.812120                4.59980e-11         7.66061e-14
             0.812353                4.61971e-11         8.07460e-14
             0.812586                4.61291e-11         8.03071e-14
             0.812819                4.58105e-11         7.56755e-14
             0.813053                4.58944e-11         7.32994e-14
             0.813286                4.59763e-11         7.33321e-14
             0.813519                4.61482e-11         7.55115e-14
             0.813752                4.60945e-11         7.94371e-14
             0.813985                4.59828e-11         8.74342e-14
             0.814219                4.59264e-11         7.77129e-14
             0.814452                4.57455e-11         7.48031e-14
             0.814685                4.60645e-11         7.32560e-14
             0.814918                4.58172e-11         7.41603e-14
             0.815151                4.56629e-11         7.66858e-14
             0.815384                4.59541e-11         8.02048e-14
             0.815618                4.59719e-11         8.06000e-14
             0.815851                4.61203e-11         7.68602e-14
             0.816084                4.65132e-11         7.44057e-14
             0.816317                4.56373e-11         7.36124e-14
             0.816550                4.56103e-11         7.91036e-14
             0.816783                4.62397e-11         8.21050e-14
             0.817016                4.59140e-11         8.21135e-14
             0.817249                4.58466e-11         7.90124e-14
             0.817482                4.59881e-11         7.47050e-14
             0.817715                4.58859e-11         7.21644e-14
             0.817948                4.57340e-11         7.43389e-14
             0.818182                4.53886e-11         7.83509e-14
             0.818415                4.37563e-11         7.72106e-14
             0.818648                4.34941e-11         7.64146e-14
             0.818881                4.47921e-11         7.47724e-14
             0.819114                4.58028e-11         7.37864e-14
             0.819347                4.59704e-11         7.32190e-14
             0.819580                4.32092e-11         7.08584e-14
             0.819813                4.26702e-11         7.21070e-14
             0.820046                4.39865e-11         7.72078e-14
             0.820279                4.44565e-11         7.57915e-14
             0.820512                4.51544e-11         7.23272e-14
             0.820745                4.54656e-11         7.02864e-14
             0.820978                4.51356e-11         6.99310e-14
             0.821211                4.51564e-11         7.13750e-14
             0.821444                4.46558e-11         7.41960e-14
             0.821677                4.47260e-11         7.60991e-14
             0.821909                4.53159e-11         7.37529e-14
             0.822142                4.42676e-11         7.32261e-14
             0.822375                4.40956e-11         6.94428e-14
             0.822608                4.60191e-11         7.24190e-14
             0.822841                4.63361e-11         7.62262e-14
             0.823074                4.57262e-11         8.21302e-14
             0.823307                4.54015e-11         8.08804e-14
             0.823540                4.54833e-11         7.67938e-14
             0.823773                4.58810e-11         7.33147e-14
             0.824006                4.55513e-11         7.04456e-14
             0.824239                4.57388e-11         7.15367e-14
             0.824471                4.57517e-11         7.59224e-14
             0.824704                4.59030e-11         7.73700e-14
             0.824937                4.47775e-11         7.26233e-14
             0.825170                4.42708e-11         6.95026e-14
             0.825403                4.52886e-11         6.96709e-14
             0.825636                4.54892e-11         6.96867e-14
             0.825868                4.54861e-11         7.22522e-14
             0.826101                4.58856e-11         7.49514e-14
             0.826334                4.61627e-11         7.58827e-14
             0.826567                4.58275e-11         7.21908e-14
             0.826800                4.54799e-11         6.99943e-14
             0.827033                4.56855e-11         6.88683e-14
             0.827265                4.60434e-11         7.14290e-14
             0.827498                4.53960e-11         7.23593e-14
             0.827731                4.50687e-11         7.69355e-14
             0.827964                4.54902e-11         7.40197e-14
             0.828196                4.60069e-11         7.20861e-14
             0.828429                4.57858e-11         7.05664e-14
             0.828662                4.57769e-11         6.97148e-14
             0.828895                4.52870e-11         7.02182e-14
             0.829127                4.52055e-11         7.33215e-14
             0.829360                4.54291e-11         7.41671e-14
             0.829593                4.48858e-11         7.26233e-14
             0.829826                4.49445e-11         6.96203e-14
             0.830058                4.51475e-11         6.82545e-14
             0.830291                4.53387e-11         6.87080e-14
             0.830524                4.53495e-11         7.41393e-14
             0.830756                4.47026e-11         7.27128e-14
             0.830989                4.48703e-11         7.37196e-14
             0.831222                4.44995e-11         6.87500e-14
             0.831454                4.46636e-11         6.75936e-14
             0.831687                4.52204e-11         6.92634e-14
             0.831920                4.53172e-11         6.92241e-14
             0.832152                4.51666e-11         7.08712e-14
             0.832385                4.49107e-11         7.31623e-14
             0.832618                4.45997e-11         7.08868e-14
             0.832850                4.29094e-11         6.61021e-14
             0.833083                4.31810e-11         6.65929e-14
             0.833316                4.32367e-11         6.59398e-14
             0.833548                4.23498e-11         6.57698e-14
             0.833781                4.30570e-11         6.82109e-14
             0.834013                4.32959e-11         6.92550e-14
             0.834246                4.41453e-11         6.96881e-14
             0.834479                4.47433e-11         6.72237e-14
             0.834711                4.40473e-11         6.74414e-14
             0.834944                4.38466e-11         6.60384e-14
             0.835176                4.47779e-11         6.76354e-14
             0.835409                4.54545e-11         7.01731e-14
             0.835641                4.54125e-11         6.97523e-14
             0.835874                4.50126e-11         6.79056e-14
             0.836106                4.44691e-11         6.61575e-14
