# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:22 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6930 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 74395'           /                                                
# SPTYPE  = 'G1 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 14'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811233 / Minimum wavelength (um)                        
# MAXWAVE =              4.18660 / Maximum wavelength (um)                        
# V       =        4.62800000000 / V magnitude                                    
# VERR    =      0.0110000000000 / V magnitude error                              
# (B-V)   =       0.840000000000 / B-V color                                      
# (B-V)ERR=     0.00300000000000 / B-V color error                                
# J       =        3.19400000000 / 2MASS J magnitude                              
# JERR    =       0.278000000000 / 2MASS J magnitude error                        
# H       =        2.78600000000 / 2MASS H magnitude                              
# HERR    =       0.262000000000 / 2MASS H magnitude error                        
# KS      =        2.71000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.300000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.160918000000 / Relative error in the absolute flux calibration
# RV      =        18.1086700000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.850000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0100001000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811233                3.57245e-10         3.57253e-13
             0.811435                3.56902e-10         3.57726e-13
             0.811636                3.54370e-10         3.55529e-13
             0.811838                3.54248e-10         3.55504e-13
             0.812040                3.56997e-10         3.59529e-13
             0.812242                3.56509e-10         3.57448e-13
             0.812443                3.58104e-10         3.62617e-13
             0.812645                3.58617e-10         3.63675e-13
             0.812847                3.55499e-10         3.61070e-13
             0.813049                3.56772e-10         3.61652e-13
             0.813250                3.56582e-10         3.63769e-13
             0.813452                3.55617e-10         3.63291e-13
             0.813654                3.58499e-10         3.67719e-13
             0.813856                3.56203e-10         3.63313e-13
             0.814058                3.57070e-10         3.67330e-13
             0.814063                3.56192e-10         2.90983e-13
             0.814298                3.54015e-10         2.96169e-13
             0.814532                3.53234e-10         3.08017e-13
             0.814767                3.54259e-10         3.22550e-13
             0.815001                3.51792e-10         3.04712e-13
             0.815236                3.52897e-10         2.92671e-13
             0.815470                3.53899e-10         2.88199e-13
             0.815705                3.54524e-10         2.93732e-13
             0.815939                3.56722e-10         3.05751e-13
             0.816173                3.54466e-10         3.22032e-13
             0.816408                3.51747e-10         3.09106e-13
             0.816642                3.54214e-10         2.95347e-13
             0.816876                3.54358e-10         2.88495e-13
             0.817111                3.53177e-10         2.90129e-13
             0.817345                3.52979e-10         2.99083e-13
             0.817579                3.53127e-10         3.13129e-13
             0.817814                3.52796e-10         3.08975e-13
             0.818048                3.52418e-10         2.94691e-13
             0.818282                3.43023e-10         2.80566e-13
             0.818516                3.31861e-10         2.75625e-13
             0.818751                3.39631e-10         2.86254e-13
             0.818985                3.48908e-10         3.06911e-13
             0.819219                3.54453e-10         3.09935e-13
             0.819453                3.41553e-10         2.87705e-13
             0.819687                3.27167e-10         2.75445e-13
             0.819922                3.36185e-10         2.80898e-13
             0.820156                3.41292e-10         2.85415e-13
             0.820390                3.44099e-10         2.95945e-13
             0.820624                3.48966e-10         3.04553e-13
             0.820858                3.45407e-10         2.89793e-13
             0.821092                3.45689e-10         2.79242e-13
             0.821326                3.44863e-10         2.76004e-13
             0.821560                3.40539e-10         2.78579e-13
             0.821794                3.46351e-10         2.91906e-13
             0.822028                3.42817e-10         3.01932e-13
             0.822262                3.36654e-10         2.85352e-13
             0.822496                3.48086e-10         2.83332e-13
             0.822730                3.55533e-10         2.86816e-13
             0.822964                3.53012e-10         2.89173e-13
             0.823198                3.46763e-10         2.93621e-13
             0.823432                3.44033e-10         3.01797e-13
             0.823666                3.48412e-10         2.93211e-13
             0.823900                3.47557e-10         2.81587e-13
             0.824134                3.48644e-10         2.75986e-13
