# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:26 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7613 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 21018'           /                                                
# SPTYPE  = 'G1 III: CH-1:'      / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805651 / Minimum wavelength (um)                        
# MAXWAVE =              5.00332 / Maximum wavelength (um)                        
# V       =        6.38300000000 / V magnitude                                    
# VERR    =      0.0180000000000 / V magnitude error                              
# (B-V)   =       0.862000000000 / B-V color                                      
# (B-V)ERR=     0.00400000000000 / B-V color error                                
# J       =        4.86400000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        4.56800000000 / 2MASS H magnitude                              
# HERR    =        8.88800000000 / 2MASS H magnitude error                        
# KS      =        4.35700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AFA     '           / 2MASS quality flag                             
# FCBANDS = 'JKs     '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0147995000000 / Relative error in the absolute flux calibration
# RV      =       -6.47495000000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.690000000000 / Intrinsic Color                                
# E(B-V)  =       0.172000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805651                7.80254e-11         1.11352e-13
             0.805854                7.85340e-11         1.11433e-13
             0.806056                7.90344e-11         1.12784e-13
             0.806259                7.89153e-11         1.12620e-13
             0.806461                7.92759e-11         1.13060e-13
             0.806664                7.90646e-11         1.17124e-13
             0.806866                7.82585e-11         1.13164e-13
             0.807069                7.75771e-11         1.11795e-13
             0.807271                7.66634e-11         1.11220e-13
             0.807473                7.63941e-11         1.10295e-13
             0.807676                7.67378e-11         1.11487e-13
             0.807878                7.77326e-11         1.12491e-13
             0.808081                7.77137e-11         1.12040e-13
             0.808283                7.69033e-11         1.12400e-13
             0.808486                7.64655e-11         1.11686e-13
             0.808688                7.61879e-11         1.10391e-13
             0.808890                7.70582e-11         1.13615e-13
             0.809093                7.77404e-11         1.12763e-13
             0.809137                7.73055e-11         9.70658e-14
             0.809370                7.53467e-11         1.00526e-13
             0.809604                7.51103e-11         1.03893e-13
             0.809837                7.56794e-11         9.84586e-14
             0.810071                7.59430e-11         9.47867e-14
             0.810304                7.73853e-11         9.35309e-14
             0.810538                7.76419e-11         9.57496e-14
             0.810771                7.73131e-11         9.91749e-14
             0.811005                7.69840e-11         1.03901e-13
             0.811238                7.73542e-11         1.02219e-13
             0.811471                7.71491e-11         9.64575e-14
             0.811705                7.71096e-11         9.35065e-14
             0.811938                7.71190e-11         9.29350e-14
             0.812172                7.72770e-11         9.56961e-14
             0.812405                7.76490e-11         1.00436e-13
             0.812638                7.73010e-11         1.03997e-13
             0.812872                7.73041e-11         9.87598e-14
             0.813105                7.70462e-11         9.46159e-14
             0.813339                7.68593e-11         9.22590e-14
             0.813572                7.71960e-11         9.40899e-14
             0.813805                7.72728e-11         9.74887e-14
             0.814039                7.70952e-11         1.01578e-13
             0.814272                7.67335e-11         1.00481e-13
             0.814505                7.65827e-11         9.62492e-14
             0.814739                7.67370e-11         9.27596e-14
             0.814972                7.62498e-11         9.17996e-14
             0.815205                7.62679e-11         9.43387e-14
             0.815439                7.66261e-11         9.88142e-14
             0.815672                7.68991e-11         1.04401e-13
             0.815905                7.73307e-11         9.98141e-14
             0.816139                7.70197e-11         9.53884e-14
             0.816372                7.61785e-11         9.27146e-14
             0.816605                7.64597e-11         9.38609e-14
             0.816838                7.66279e-11         9.63568e-14
             0.817071                7.64675e-11         1.00877e-13
             0.817305                7.63836e-11         9.99398e-14
             0.817538                7.63654e-11         9.51520e-14
             0.817771                7.64322e-11         9.26857e-14
             0.818004                7.64492e-11         9.31287e-14
             0.818238                7.47741e-11         9.29913e-14
             0.818471                7.23597e-11         9.40730e-14
             0.818704                7.28299e-11         9.81755e-14
