# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:30 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7669 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 10307'           /                                                
# SPTYPE  = 'G1 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2006 Dec 21'        / UT date of SXD observations                    
# LXDUT   = '2006 Dec 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803982 / Minimum wavelength (um)                        
# MAXWAVE =              5.05128 / Maximum wavelength (um)                        
# V       =        4.95800000000 / V magnitude                                    
# VERR    =      0.0110000000000 / V magnitude error                              
# (B-V)   =       0.618000000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        4.00000000000 / 2MASS J magnitude                              
# JERR    =       0.262000000000 / 2MASS J magnitude error                        
# H       =        3.70300000000 / 2MASS H magnitude                              
# HERR    =       0.226000000000 / 2MASS H magnitude error                        
# KS      =        3.57700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.314000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.150263000000 / Relative error in the absolute flux calibration
# RV      =        5.07942530000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.620000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00200003000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803982                2.09225e-10         2.89141e-13
             0.804184                2.09416e-10         2.90449e-13
             0.804387                2.08372e-10         2.89018e-13
             0.804590                2.05405e-10         2.88366e-13
             0.804792                1.99925e-10         2.82235e-13
             0.804995                2.00057e-10         2.80164e-13
             0.805198                2.03471e-10         2.85505e-13
             0.805400                2.06171e-10         2.89339e-13
             0.805603                2.05784e-10         2.89004e-13
             0.805805                2.05963e-10         2.92171e-13
             0.806008                2.07821e-10         3.02841e-13
             0.806211                2.07691e-10         2.93778e-13
             0.806413                2.07869e-10         2.94325e-13
             0.806616                2.07678e-10         2.93513e-13
             0.806818                2.07309e-10         2.94461e-13
             0.807021                2.05731e-10         2.94118e-13
             0.807224                2.04768e-10         2.91589e-13
             0.807426                2.04640e-10         2.92624e-13
             0.807485                2.04341e-10         2.61151e-13
             0.807718                2.04374e-10         2.74552e-13
             0.807951                2.05610e-10         2.72454e-13
             0.808185                2.05425e-10         2.57024e-13
             0.808418                2.04452e-10         2.48011e-13
             0.808651                2.01501e-10         2.44073e-13
             0.808884                2.02716e-10         2.49178e-13
             0.809117                2.04993e-10         2.64120e-13
             0.809350                2.02339e-10         2.77148e-13
             0.809583                2.00812e-10         2.64722e-13
             0.809816                2.01052e-10         2.48332e-13
             0.810049                1.99566e-10         2.41055e-13
             0.810282                2.02204e-10         2.45178e-13
             0.810515                2.05270e-10         2.55245e-13
             0.810748                2.04924e-10         2.68401e-13
             0.810981                2.04475e-10         2.71240e-13
             0.811214                2.04867e-10         2.58638e-13
             0.811447                2.04545e-10         2.50865e-13
             0.811680                2.05022e-10         2.45320e-13
             0.811913                2.05199e-10         2.48910e-13
             0.812146                2.05000e-10         2.58668e-13
             0.812379                2.04866e-10         2.70958e-13
             0.812612                2.04815e-10         2.65878e-13
             0.812845                2.04198e-10         2.51613e-13
             0.813078                2.04103e-10         2.44834e-13
             0.813311                2.03978e-10         2.45585e-13
             0.813544                2.03290e-10         2.50892e-13
             0.813777                2.04123e-10         2.61928e-13
             0.814010                2.03981e-10         2.71895e-13
             0.814243                2.03057e-10         2.59572e-13
             0.814475                2.02861e-10         2.49757e-13
             0.814708                2.02709e-10         2.41584e-13
             0.814941                2.02232e-10         2.44402e-13
             0.815174                2.02173e-10         2.53360e-13
             0.815407                2.02167e-10         2.66442e-13
             0.815640                2.02266e-10         2.67662e-13
             0.815873                2.02711e-10         2.54276e-13
             0.816106                2.02930e-10         2.45751e-13
             0.816339                2.01497e-10         2.50322e-13
             0.816572                2.01659e-10         2.55269e-13
             0.816805                2.02570e-10         2.58277e-13
             0.817037                2.01023e-10         2.70565e-13
             0.817270                2.01263e-10         2.60801e-13
             0.817503                2.02187e-10         2.48128e-13
             0.817736                2.01074e-10         2.42912e-13
             0.817969                2.00904e-10         2.48122e-13
             0.818202                1.99651e-10         2.53839e-13
             0.818434                1.93664e-10         2.52238e-13
             0.818667                1.93357e-10         2.58723e-13
             0.818900                1.97373e-10         2.52163e-13
             0.819133                2.00409e-10         2.47357e-13
             0.819366                1.99365e-10         2.40656e-13
             0.819599                1.90854e-10         2.42101e-13
             0.819831                1.88667e-10         2.36984e-13
             0.820064                1.94054e-10         2.57670e-13
             0.820297                1.96672e-10         2.55377e-13
             0.820530                1.99373e-10         2.45404e-13
             0.820763                1.99846e-10         2.37657e-13
             0.820995                1.96847e-10         2.34287e-13
             0.821228                1.96470e-10         2.35938e-13
             0.821461                1.93661e-10         2.42522e-13
             0.821694                1.93893e-10         2.54306e-13
             0.821926                1.96537e-10         2.48070e-13
             0.822159                1.92926e-10         2.35390e-13
             0.822392                1.93397e-10         2.30552e-13
             0.822625                2.00114e-10         2.37623e-13
             0.822857                1.99663e-10         2.50998e-13
             0.823090                1.98424e-10         2.61294e-13
             0.823323                1.96563e-10         2.60818e-13
             0.823556                1.96807e-10         2.46510e-13
             0.823788                1.98364e-10         2.36453e-13
             0.824021                1.98144e-10         2.31725e-13
             0.824254                1.98962e-10         2.37976e-13
             0.824486                1.98833e-10         2.42745e-13
             0.824719                1.98584e-10         2.52303e-13
             0.824952                1.95053e-10         2.43837e-13
             0.825184                1.94430e-10         2.34868e-13
             0.825417                1.98286e-10         2.32664e-13
             0.825650                1.97600e-10         2.31193e-13
             0.825882                1.97216e-10         2.34988e-13
             0.826115                1.98568e-10         2.42736e-13
             0.826348                1.98232e-10         2.49929e-13
             0.826580                1.98101e-10         2.41459e-13
             0.826813                1.98211e-10         2.34137e-13
             0.827046                1.98140e-10         2.29035e-13
             0.827278                1.97952e-10         2.29530e-13
             0.827511                1.97057e-10         2.35995e-13
             0.827744                1.95734e-10         2.42180e-13
             0.827976                1.97018e-10         2.47317e-13
             0.828209                1.97382e-10         2.41920e-13
             0.828442                1.97741e-10         2.32997e-13
             0.828674                1.97471e-10         2.27778e-13
             0.828907                1.96108e-10         2.30627e-13
             0.829139                1.96060e-10         2.37344e-13
