# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:14 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6841 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 25975'           /                                                
# SPTYPE  = 'K1 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 14'        / UT date of SXD observations                    
# LXDUT   = '2003 Nov 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810295 / Minimum wavelength (um)                        
# MAXWAVE =              4.17884 / Maximum wavelength (um)                        
# V       =        6.08900000000 / V magnitude                                    
# VERR    =     0.00400000000000 / V magnitude error                              
# (B-V)   =       0.944000000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        4.59900000000 / 2MASS J magnitude                              
# JERR    =       0.304000000000 / 2MASS J magnitude error                        
# H       =        4.05700000000 / 2MASS H magnitude                              
# HERR    =       0.246000000000 / 2MASS H magnitude error                        
# KS      =        4.02200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.366000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.169491000000 / Relative error in the absolute flux calibration
# RV      =       -36.2070440000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.09000000000 / Intrinsic Color                                
# E(B-V)  =      -0.146000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810295                1.02650e-10         1.91302e-13
             0.810498                1.03484e-10         1.93457e-13
             0.810700                1.02810e-10         1.91183e-13
             0.810903                1.02325e-10         1.91761e-13
             0.811105                1.02441e-10         1.91647e-13
             0.811308                1.02897e-10         1.93034e-13
             0.811510                1.03034e-10         1.92935e-13
             0.811713                1.01819e-10         1.91603e-13
             0.811915                1.01631e-10         1.90993e-13
             0.812118                1.02654e-10         1.94265e-13
             0.812320                1.03589e-10         1.94667e-13
             0.812523                1.04819e-10         1.99112e-13
             0.812725                1.03389e-10         1.96489e-13
             0.812927                1.02388e-10         1.94774e-13
             0.813130                1.02940e-10         1.95431e-13
             0.813332                1.03129e-10         1.97331e-13
             0.813352                1.03006e-10         1.60933e-13
             0.813585                1.03003e-10         1.61441e-13
             0.813818                1.03485e-10         1.70710e-13
             0.814051                1.02931e-10         1.72612e-13
             0.814284                1.02547e-10         1.64049e-13
             0.814517                1.02378e-10         1.57611e-13
             0.814750                1.02686e-10         1.55574e-13
             0.814982                1.02676e-10         1.58195e-13
             0.815215                1.01924e-10         1.62998e-13
             0.815448                1.02760e-10         1.71867e-13
             0.815681                1.02861e-10         1.71701e-13
             0.815914                1.03621e-10         1.62754e-13
             0.816146                1.04200e-10         1.58554e-13
             0.816379                1.01757e-10         1.55100e-13
             0.816612                1.02221e-10         1.60123e-13
             0.816845                1.03232e-10         1.67507e-13
             0.817078                1.02629e-10         1.72904e-13
             0.817311                1.02888e-10         1.65616e-13
             0.817543                1.02849e-10         1.58636e-13
             0.817776                1.02635e-10         1.54823e-13
             0.818009                1.02816e-10         1.56840e-13
             0.818242                1.01668e-10         1.60159e-13
             0.818474                9.85317e-11         1.62348e-13
             0.818707                9.79567e-11         1.67587e-13
             0.818940                9.95512e-11         1.57529e-13
             0.819173                1.01617e-10         1.55722e-13
             0.819405                1.02470e-10         1.54585e-13
             0.819638                9.70217e-11         1.49235e-13
             0.819871                9.62309e-11         1.56313e-13
             0.820104                9.92716e-11         1.62898e-13
             0.820336                1.00251e-10         1.61613e-13
             0.820569                1.00813e-10         1.57085e-13
             0.820802                1.01114e-10         1.51692e-13
             0.821034                1.00016e-10         1.50968e-13
             0.821267                1.00385e-10         1.52811e-13
             0.821500                9.91951e-11         1.56178e-13
             0.821732                9.91715e-11         1.64026e-13
             0.821965                1.01315e-10         1.58924e-13
             0.822198                9.87728e-11         1.50346e-13
             0.822430                9.81522e-11         1.46835e-13
             0.822663                1.01969e-10         1.52491e-13
             0.822896                1.03199e-10         1.58933e-13
             0.823129                1.02724e-10         1.65717e-13
             0.823361                1.01128e-10         1.64607e-13
             0.823594                1.01410e-10         1.57484e-13
             0.823826                1.01673e-10         1.52326e-13
             0.824059                1.01328e-10         1.50350e-13
             0.824292                1.02051e-10         1.52440e-13
             0.824524                1.02292e-10         1.57931e-13
             0.824757                1.02315e-10         1.67360e-13
             0.824990                1.01277e-10         1.60615e-13
             0.825222                1.00764e-10         1.51974e-13
             0.825455                1.01679e-10         1.50492e-13
             0.825687                1.01638e-10         1.49889e-13
             0.825920                1.01183e-10         1.52594e-13
             0.826153                1.02305e-10         1.59121e-13
             0.826385                1.03535e-10         1.67363e-13
             0.826618                1.02637e-10         1.57853e-13
             0.826850                1.01734e-10         1.51631e-13
             0.827083                1.01862e-10         1.49717e-13
             0.827315                1.02246e-10         1.51272e-13
             0.827548                1.01344e-10         1.55732e-13
             0.827781                1.00179e-10         1.57624e-13
             0.828013                1.01348e-10         1.60067e-13
             0.828246                1.02380e-10         1.55479e-13
             0.828478                1.02444e-10         1.51456e-13
             0.828711                1.01624e-10         1.49391e-13
             0.828943                1.00625e-10         1.51833e-13
             0.829176                1.00200e-10         1.60878e-13
             0.829408                1.00511e-10         1.57749e-13
             0.829641                1.00233e-10         1.55177e-13
             0.829873                9.96897e-11         1.50069e-13
             0.830106                9.96141e-11         1.47560e-13
             0.830338                1.00543e-10         1.47017e-13
             0.830571                1.00481e-10         1.52904e-13
             0.830803                9.85772e-11         1.50875e-13
             0.831036                9.82514e-11         1.54478e-13
             0.831268                9.75647e-11         1.48144e-13
             0.831501                9.86752e-11         1.49627e-13
             0.831733                1.00648e-10         1.46323e-13
             0.831966                1.01336e-10         1.48022e-13
             0.832198                1.00392e-10         1.49766e-13
             0.832431                9.90204e-11         1.53640e-13
             0.832663                9.85428e-11         1.51847e-13
             0.832895                9.61811e-11         1.46323e-13
             0.833128                9.64975e-11         1.41641e-13
             0.833360                9.59248e-11         1.39573e-13
             0.833593                9.50057e-11         1.39597e-13
             0.833825                9.64441e-11         1.44392e-13
             0.834058                9.62892e-11         1.48040e-13
             0.834290                9.72318e-11         1.49249e-13
             0.834522                9.88872e-11         1.45644e-13
             0.834755                9.70965e-11         1.41563e-13
             0.834987                9.62527e-11         1.39224e-13
             0.835220                9.82445e-11         1.46019e-13
             0.835452                9.99998e-11         1.49512e-13
             0.835684                1.00210e-10         1.54528e-13
             0.835917                9.94452e-11         1.48463e-13
             0.836149                9.89995e-11         1.44226e-13
             0.836382                9.88726e-11         1.42344e-13
             0.836614                9.74711e-11         1.40833e-13
             0.836846                9.80199e-11         1.43312e-13
             0.837079                1.00229e-10         1.58293e-13
             0.837311                9.96106e-11         1.50880e-13
             0.837543                9.93718e-11         1.46220e-13
             0.837776                9.96962e-11         1.45751e-13
             0.838008                9.88642e-11         1.46143e-13
             0.838240                9.91965e-11         1.44089e-13
             0.838473                9.70980e-11         1.44999e-13
             0.838705                9.59812e-11         1.44237e-13
             0.838937                9.44559e-11         1.41248e-13
             0.839170                9.46757e-11         1.38506e-13
             0.839402                9.88633e-11         1.41137e-13
             0.839634                1.00563e-10         1.45101e-13
             0.839867                9.93348e-11         1.43377e-13
             0.840099                9.89337e-11         1.45014e-13
             0.840331                9.87451e-11         1.48269e-13
             0.840563                9.90698e-11         1.44854e-13
             0.840796                9.95993e-11         1.42987e-13
             0.841028                1.00102e-10         1.41935e-13
             0.841260                9.95379e-11         1.42032e-13
             0.841492                9.73429e-11         1.41111e-13
             0.841725                9.82918e-11         1.47898e-13
             0.841957                9.91847e-11         1.47368e-13
             0.842189                9.86267e-11         1.48305e-13
             0.842422                9.74274e-11         1.38843e-13
             0.842654                9.65037e-11         1.37360e-13
             0.842886                9.50493e-11         1.35770e-13
             0.843118                9.80087e-11         1.41435e-13
             0.843350                1.00507e-10         1.47795e-13
             0.843583                9.69797e-11         1.42435e-13
             0.843815                9.40238e-11         1.36829e-13
             0.844047                9.47081e-11         1.36064e-13
             0.844279                9.60538e-11         1.37613e-13
             0.844512                9.75494e-11         1.40059e-13
             0.844744                9.81191e-11         1.43916e-13
             0.844976                9.87543e-11         1.48551e-13
             0.845208                9.94146e-11         1.46057e-13
             0.845440                9.98282e-11         1.42557e-13
             0.845672                9.96299e-11         1.39297e-13
             0.845905                9.84462e-11         1.38096e-13
             0.846137                9.83267e-11         1.39407e-13
             0.846369                9.91899e-11         1.43555e-13
             0.846601                9.82830e-11         1.44049e-13
             0.846833                9.57431e-11         1.38008e-13
             0.847065                9.40216e-11         1.34743e-13
             0.847298                9.46290e-11         1.34413e-13
             0.847530                9.72572e-11         1.38553e-13
             0.847762                9.88328e-11         1.58697e-13
             0.847994                9.86551e-11         1.42288e-13
             0.848226                9.70661e-11         1.39325e-13
             0.848458                9.60899e-11         1.35547e-13
             0.848690                9.73104e-11         1.34973e-13
             0.848922                9.79327e-11         1.35613e-13
             0.849155                9.78552e-11         1.36748e-13
             0.849387                9.76152e-11         1.38479e-13
             0.849619                9.55303e-11         1.38742e-13
             0.849851                8.44458e-11         1.22994e-13
             0.850083                7.57794e-11         1.13009e-13
             0.850315                8.19678e-11         1.19563e-13
             0.850547                9.00595e-11         1.28931e-13
             0.850779                9.38604e-11         1.34053e-13
             0.851011                9.69713e-11         1.39859e-13
             0.851243                9.71113e-11         1.40283e-13
             0.851475                9.42718e-11         1.33545e-13
             0.851708                9.10961e-11         1.28090e-13
             0.851940                9.18583e-11         1.27561e-13
             0.852172                9.44959e-11         1.30615e-13
             0.852404                9.59573e-11         1.33263e-13
             0.852636                9.52721e-11         1.34242e-13
             0.852868                9.39198e-11         1.32938e-13
             0.853100                9.39562e-11         1.30660e-13
             0.853332                9.45282e-11         1.31158e-13
             0.853564                9.42050e-11         1.30345e-13
             0.853796                9.07647e-11         1.28041e-13
             0.854028                8.28993e-11         1.20397e-13
             0.854260                6.78964e-11         1.03056e-13
             0.854492                5.83797e-11         9.13183e-14
             0.854724                6.84054e-11         1.02579e-13
             0.854956                8.25673e-11         1.18272e-13
             0.855188                8.84633e-11         1.24827e-13
