# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:45 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6799 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 44391'           /                                                
# SPTYPE  = 'K0 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 22'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810812 / Minimum wavelength (um)                        
# MAXWAVE =              4.18321 / Maximum wavelength (um)                        
# V       =        7.74000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.40000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.30100000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        4.75900000000 / 2MASS H magnitude                              
# HERR    =      0.0360000000000 / 2MASS H magnitude error                        
# KS      =        4.54800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0170000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0119507000000 / Relative error in the absolute flux calibration
# RV      =       -10.7156820000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.18000000000 / Intrinsic Color                                
# E(B-V)  =       0.220000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810812                3.62623e-11         8.80806e-14
             0.811015                3.65931e-11         8.84496e-14
             0.811217                3.66837e-11         8.87153e-14
             0.811420                3.71692e-11         8.95030e-14
             0.811623                3.66723e-11         8.90022e-14
             0.811825                3.59845e-11         8.80589e-14
             0.812028                3.67102e-11         8.95050e-14
             0.812231                3.68223e-11         8.90466e-14
             0.812433                3.75513e-11         9.09033e-14
             0.812636                3.75812e-11         9.10330e-14
             0.812839                3.66711e-11         8.98099e-14
             0.813041                3.71319e-11         9.02241e-14
             0.813244                3.69087e-11         9.04639e-14
             0.813447                3.69629e-11         9.07463e-14
             0.813649                3.77274e-11         9.22196e-14
             0.813765                3.76258e-11         8.04079e-14
             0.813997                3.74487e-11         7.69324e-14
             0.814230                3.70570e-11         7.39943e-14
             0.814462                3.66168e-11         7.25377e-14
             0.814695                3.69807e-11         7.35873e-14
             0.814928                3.72434e-11         7.68684e-14
             0.815160                3.66301e-11         8.01920e-14
             0.815392                3.69756e-11         7.86814e-14
             0.815625                3.73068e-11         7.57653e-14
             0.815857                3.77684e-11         7.38547e-14
             0.816090                3.85040e-11         7.40111e-14
             0.816322                3.70426e-11         7.43330e-14
             0.816555                3.65655e-11         7.70454e-14
             0.816787                3.73004e-11         8.13680e-14
             0.817020                3.73760e-11         7.77502e-14
             0.817252                3.76038e-11         7.49888e-14
             0.817485                3.76202e-11         7.29843e-14
             0.817717                3.73050e-11         7.23685e-14
             0.817950                3.75403e-11         7.48292e-14
             0.818182                3.74738e-11         7.79845e-14
             0.818415                3.63643e-11         7.87120e-14
             0.818647                3.55874e-11         7.41096e-14
             0.818879                3.59637e-11         7.22133e-14
             0.819112                3.72522e-11         7.24492e-14
             0.819344                3.86628e-11         7.40255e-14
             0.819577                3.68179e-11         7.41290e-14
             0.819809                3.51293e-11         7.58184e-14
             0.820042                3.65377e-11         7.73033e-14
             0.820274                3.67846e-11         7.42355e-14
             0.820506                3.64561e-11         7.23565e-14
             0.820739                3.64738e-11         7.04310e-14
             0.820971                3.62765e-11         7.37271e-14
             0.821204                3.72347e-11         7.34281e-14
             0.821436                3.73415e-11         7.65001e-14
             0.821668                3.68384e-11         7.75967e-14
             0.821901                3.80686e-11         7.37940e-14
             0.822133                3.75639e-11         7.15239e-14
             0.822366                3.61652e-11         6.95464e-14
             0.822598                3.76174e-11         7.19675e-14
             0.822830                3.90565e-11         7.62308e-14
             0.823063                3.87078e-11         7.95241e-14
             0.823295                3.81916e-11         7.67987e-14
             0.823528                3.77959e-11         7.30958e-14
             0.823760                3.81298e-11         7.12644e-14
             0.823992                3.79366e-11         7.09349e-14
