# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:50 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7630 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 179870'          /                                                
# SPTYPE  = 'K0 II   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 22'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806796 / Minimum wavelength (um)                        
# MAXWAVE =              5.01591 / Maximum wavelength (um)                        
# V       =        7.06300000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.24500000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.88700000000 / 2MASS J magnitude                              
# JERR    =      0.0340000000000 / 2MASS J magnitude error                        
# H       =        4.04800000000 / 2MASS H magnitude                              
# HERR    =       0.226000000000 / 2MASS H magnitude error                        
# KS      =        4.19100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0245719000000 / Relative error in the absolute flux calibration
# RV      =       -3.71605010000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.06000000000 / Intrinsic Color                                
# E(B-V)  =       0.185000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806796                6.49471e-11         9.74642e-14
             0.806998                6.33034e-11         9.62640e-14
             0.807201                6.18039e-11         9.55856e-14
             0.807403                6.12836e-11         9.55128e-14
             0.807606                6.15377e-11         9.49407e-14
             0.807808                6.27162e-11         9.64539e-14
             0.808011                6.38360e-11         9.76852e-14
             0.808213                6.25370e-11         9.61981e-14
             0.808415                6.12150e-11         9.58707e-14
             0.808618                6.21327e-11         9.65933e-14
             0.808820                6.30390e-11         9.64947e-14
             0.809023                6.32644e-11         9.78545e-14
             0.809225                6.08115e-11         9.54861e-14
             0.809427                5.86622e-11         9.48778e-14
             0.809630                5.94763e-11         9.55866e-14
             0.809832                6.13667e-11         9.70216e-14
             0.810034                6.13520e-11         9.66990e-14
             0.810237                6.21469e-11         9.68902e-14
             0.810237                6.21721e-11         8.11794e-14
             0.810471                6.19059e-11         8.24036e-14
             0.810704                6.05645e-11         8.55240e-14
             0.810937                6.08923e-11         8.97292e-14
             0.811170                6.17357e-11         8.85644e-14
             0.811403                6.20844e-11         8.43265e-14
             0.811636                6.11019e-11         8.09874e-14
             0.811869                6.09185e-11         8.04423e-14
             0.812103                6.16715e-11         8.31028e-14
             0.812336                6.27431e-11         8.78474e-14
             0.812569                6.30284e-11         9.17521e-14
             0.812802                6.16200e-11         8.57175e-14
             0.813035                6.17187e-11         8.21776e-14
             0.813268                6.22012e-11         8.10978e-14
             0.813501                6.25479e-11         8.24875e-14
             0.813734                6.31162e-11         8.68407e-14
             0.813967                6.26443e-11         8.99977e-14
             0.814200                6.22951e-11         8.87918e-14
             0.814433                6.17931e-11         8.44457e-14
             0.814666                6.23932e-11         8.23221e-14
             0.814899                6.23803e-11         8.20780e-14
             0.815132                6.15799e-11         8.32436e-14
             0.815366                6.24966e-11         8.69674e-14
             0.815599                6.30271e-11         9.23260e-14
             0.815832                6.34631e-11         8.86334e-14
             0.816065                6.43040e-11         8.49229e-14
             0.816298                6.20868e-11         8.28341e-14
             0.816531                6.18259e-11         8.44844e-14
             0.816764                6.30522e-11         8.70482e-14
             0.816997                6.28810e-11         8.94063e-14
             0.817230                6.30245e-11         9.07999e-14
             0.817463                6.30109e-11         8.52097e-14
             0.817695                6.29731e-11         8.21296e-14
             0.817928                6.35836e-11         8.38255e-14
             0.818161                6.24290e-11         8.49068e-14
             0.818394                6.08963e-11         8.56197e-14
             0.818627                6.01953e-11         8.81936e-14
             0.818860                6.10372e-11         8.57932e-14
             0.819093                6.23807e-11         8.41370e-14
             0.819326                6.39105e-11         8.30601e-14
             0.819559                6.04486e-11         8.02073e-14
