# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:49:06 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7659 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 63302'           /                                                
# SPTYPE  = 'K1 Ia-Iab'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806269 / Minimum wavelength (um)                        
# MAXWAVE =              5.05718 / Maximum wavelength (um)                        
# V       =        6.34700000000 / V magnitude                                    
# VERR    =      0.0330000000000 / V magnitude error                              
# (B-V)   =        1.75200000000 / B-V color                                      
# (B-V)ERR=      0.0290000000000 / B-V color error                                
# J       =        3.74600000000 / 2MASS J magnitude                              
# JERR    =       0.248000000000 / 2MASS J magnitude error                        
# H       =        2.95800000000 / 2MASS H magnitude                              
# HERR    =       0.224000000000 / 2MASS H magnitude error                        
# KS      =        2.70200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.266000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.140968000000 / Relative error in the absolute flux calibration
# RV      =        25.9128590000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.20000000000 / Intrinsic Color                                
# E(B-V)  =       0.552000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806269                1.54022e-10         3.19043e-13
             0.806472                1.53672e-10         3.17243e-13
             0.806674                1.56695e-10         3.22772e-13
             0.806877                1.49991e-10         3.13850e-13
             0.807079                1.40880e-10         3.01414e-13
             0.807282                1.38069e-10         2.95580e-13
             0.807485                1.35567e-10         2.94190e-13
             0.807687                1.35810e-10         2.95265e-13
             0.807890                1.45449e-10         3.07814e-13
             0.808092                1.49467e-10         3.15522e-13
             0.808295                1.42705e-10         3.06182e-13
             0.808497                1.41169e-10         3.13263e-13
             0.808700                1.47275e-10         3.15730e-13
             0.808902                1.50624e-10         3.16623e-13
             0.809105                1.42844e-10         3.08098e-13
             0.809307                1.29286e-10         2.88282e-13
             0.809510                1.29924e-10         2.89758e-13
             0.809712                1.37694e-10         3.00676e-13
             0.809913                1.39881e-10         2.56324e-13
             0.810146                1.40245e-10         2.59760e-13
             0.810379                1.39391e-10         2.72379e-13
             0.810611                1.33617e-10         2.78148e-13
             0.810844                1.33518e-10         2.75122e-13
             0.811077                1.37951e-10         2.76209e-13
             0.811310                1.41820e-10         2.60835e-13
             0.811543                1.38244e-10         2.53991e-13
             0.811776                1.32477e-10         2.51811e-13
             0.812009                1.36049e-10         2.69344e-13
             0.812242                1.38940e-10         2.86973e-13
             0.812475                1.42925e-10         2.77933e-13
             0.812707                1.40442e-10         2.61992e-13
             0.812940                1.40309e-10         2.55486e-13
             0.813173                1.40616e-10         2.55822e-13
             0.813406                1.40069e-10         2.64518e-13
             0.813639                1.43078e-10         2.82000e-13
             0.813872                1.42902e-10         2.86331e-13
             0.814104                1.42268e-10         2.71123e-13
             0.814337                1.38123e-10         2.56744e-13
             0.814570                1.39194e-10         2.53213e-13
             0.814803                1.42632e-10         2.60349e-13
             0.815036                1.40221e-10         2.67231e-13
             0.815269                1.41133e-10         2.81879e-13
             0.815501                1.42605e-10         2.89170e-13
             0.815734                1.46709e-10         2.74427e-13
             0.815967                1.52776e-10         2.72191e-13
             0.816200                1.43371e-10         2.60663e-13
             0.816432                1.37709e-10         2.60603e-13
             0.816665                1.41750e-10         2.84929e-13
             0.816898                1.43189e-10         2.90004e-13
             0.817131                1.45530e-10         2.79302e-13
             0.817364                1.47180e-10         2.69394e-13
             0.817596                1.42587e-10         2.57178e-13
             0.817829                1.43640e-10         2.61946e-13
             0.818062                1.46132e-10         2.73297e-13
             0.818295                1.40304e-10         2.76164e-13
             0.818527                1.35548e-10         2.71559e-13
             0.818760                1.35374e-10         2.60568e-13
             0.818993                1.41415e-10         2.61418e-13
             0.819225                1.56236e-10         2.72690e-13
             0.819458                1.49233e-10         2.67857e-13
